Country,Name,POS,AGE,HT,WT
Argentina,Franco Armani,Goalkeeper,36,187.96,88.0
Argentina,Emiliano Martinez,Goalkeeper,30,193.04,88.9
Argentina,Geronimo Rulli,Goalkeeper,30,187.96,83.9
Argentina,Juan Foyth,Defender,24,187.96,68.9
Argentina,Lisandro Martinez,Defender,24,172.72,71.7
Argentina,Nahuel Molina,Defender,24,177.8,68.9
Argentina,Gonzalo Montiel,Defender,25,172.72,68.9
Argentina,Nicolas Otamendi,Defender,34,182.88,82.5
Argentina,German Pezzella,Defender,31,187.96,81.6
Argentina,Cristian Romero,Defender,24,182.88,78.9
Argentina,Nicolas Tagliafico,Defender,30,170.18,66.7
Argentina,Marcos Acuna,Midfielder,31,170.18,68.9
Argentina,Thiago Almada,Midfielder,21,170.18,61.7
Argentina,Rodrigo De Paul,Midfielder,28,177.8,69.8
Argentina,Enzo Fernandez,Midfielder,21,177.8,66.7
Argentina,Papu Gomez,Midfielder,34,165.1,67.6
Argentina,Alexis Mac Allister,Midfielder,23,175.26,69.8
Argentina,Exequiel Palacios,Midfielder,24,175.26,70.7
Argentina,Leandro Paredes,Midfielder,28,180.34,74.8
Argentina,Guido Rodriguez,Midfielder,28,185.42000000000002,77.6
Argentina,Julian Alvarez,Forward,22,167.64000000000001,70.7
Argentina,Angel Correa,Forward,27,172.72,67.6
Argentina,Angel Di Maria,Forward,34,177.8,74.8
Argentina,Paulo Dybala,Forward,29,175.26,74.8
Argentina,Lautaro Martinez,Forward,25,172.72,79.8
Argentina,Lionel Messi,Forward,35,167.64000000000001,66.7
Australia,Andrew Redmayne,Goalkeeper,33,193.04,83.9
Australia,Mathew Ryan,Goalkeeper,30,182.88,81.6
Australia,Danny Vukovic,Goalkeeper,37,185.42000000000002,93.9
Australia,Nathaniel Atkinson,Defender,23,180.34,72.6
Australia,Aziz Behich,Defender,31,167.64000000000001,62.6
Australia,Milos Degenek,Defender,28,185.42000000000002,79.8
Australia,Thomas Deng,Defender,25,177.8,72.6
Australia,Fran Karacic,Defender,26,180.34,74.8
Australia,Joel King,Defender,22,177.8,77.6
Australia,Kye Rowles,Defender,24,182.88,89.8
Australia,Harry Souttar,Defender,24,195.58,79.8
Australia,Bailey Wright,Defender,30,182.88,83.9
Australia,Keanu Baccus,Midfielder,24,177.8,66.7
Australia,Cameron Devlin,Midfielder,24,170.18,67.6
Australia,Ajdin Hrustic,Midfielder,26,177.8,77.6
Australia,Jackson Irvine,Midfielder,29,187.96,76.6
Australia,Riley McGree,Midfielder,24,177.8,71.7
Australia,Aaron Mooy,Midfielder,32,172.72,71.7
Australia,Jason Cummings,Forward,27,177.8,67.6
Australia,Mitchell Duke,Forward,31,180.34,83.9
Australia,Craig Goodwin,Forward,30,182.88,71.7
Australia,Garang Kuol,Forward,18,172.72,67.6
Australia,Mathew Leckie,Forward,31,180.34,83.9
Australia,Awer Mabil,Forward,27,177.8,64.9
Australia,Jamie MacLaren,Forward,29,177.8,71.7
Belgium,Koen Casteels,Goalkeeper,30,195.58,77.6
Belgium,Thibaut Courtois,Goalkeeper,30,198.12,95.7
Belgium,Simon Mignolet,Goalkeeper,34,190.5,86.6
Belgium,Toby Alderweireld,Defender,33,185.42000000000002,80.7
Belgium,Zeno Debast,Defender,19,187.96,72.6
Belgium,Leander Dendoncker,Defender,27,187.96,82.5
Belgium,Wout Faes,Defender,24,185.42000000000002,83.9
Belgium,Arthur Theate,Defender,22,182.88,77.6
Belgium,Jan Vertonghen,Defender,35,187.96,78.9
Belgium,Timothy Castagne,Midfielder,26,182.88,79.8
Belgium,Kevin De Bruyne,Midfielder,31,180.34,67.6
Belgium,Thorgan Hazard,Midfielder,29,172.72,70.7
Belgium,Thomas Meunier,Midfielder,31,187.96,89.8
Belgium,Amadou Mvom Onana,Midfielder,21,190.5,75.7
Belgium,Youri Tielemans,Midfielder,25,175.26,71.7
Belgium,Hans Vanaken,Midfielder,30,193.04,76.6
Belgium,Axel Witsel,Midfielder,33,185.42000000000002,80.7
Belgium,Michy Batshuayi,Forward,29,182.88,77.6
Belgium,Yannick Carrasco,Forward,29,177.8,66.7
Belgium,Charles De Ketelaere,Forward,21,190.5,73.9
