,Country,Name,POS,AGE,HT,WT,Country_logo,BMI
0,Argentina,Franco Armani,Goalkeeper,36,187.96,88.0,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,24.9
1,Argentina,Emiliano Martinez,Goalkeeper,30,193.04,88.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.9
2,Argentina,Geronimo Rulli,Goalkeeper,30,187.96,83.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.7
3,Argentina,Juan Foyth,Defender,24,187.96,68.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,19.5
4,Argentina,Lisandro Martinez,Defender,24,172.72,71.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,24.0
5,Argentina,Nahuel Molina,Defender,24,177.8,68.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,21.8
6,Argentina,Gonzalo Montiel,Defender,25,172.72,68.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.1
7,Argentina,Nicolas Otamendi,Defender,34,182.88,82.5,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,24.7
8,Argentina,German Pezzella,Defender,31,187.96,81.6,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.1
9,Argentina,Cristian Romero,Defender,24,182.88,78.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.6
10,Argentina,Nicolas Tagliafico,Defender,30,170.18,66.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.0
11,Argentina,Marcos Acuna,Midfielder,31,170.18,68.9,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.8
12,Argentina,Thiago Almada,Midfielder,21,170.18,61.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,21.3
13,Argentina,Rodrigo De Paul,Midfielder,28,177.8,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,22.1
14,Argentina,Enzo Fernandez,Midfielder,21,177.8,66.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,21.1
15,Argentina,Papu Gomez,Midfielder,34,165.1,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,24.8
16,Argentina,Alexis Mac Allister,Midfielder,23,175.26,69.8,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,22.7
17,Argentina,Exequiel Palacios,Midfielder,24,175.26,70.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.0
18,Argentina,Leandro Paredes,Midfielder,28,180.34,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.0
19,Argentina,Guido Rodriguez,Midfielder,28,185.42000000000002,77.6,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,22.6
20,Argentina,Julian Alvarez,Forward,22,167.64000000000001,70.7,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,25.2
21,Argentina,Angel Correa,Forward,27,172.72,67.6,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,22.7
22,Argentina,Angel Di Maria,Forward,34,177.8,74.8,https://b.fssta.com/uploads/application/countries/flag-logos/32.vresize.350.350.medium.0.png,23.7
