,__catalogCourseId,dateStart,pid,id,title,catalogActivationDate,name,description,id,linkedGroup
0,ACCTG100,2019-01-01,414Six2j-,5a6a3fb5449c7c2e00c517af,Introduction to Accounting,2018-12-21,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
1,ACCTG180,2020-01-01,V1g4Sol3sW,5da0e7a7783602240012c9cb,Survey of Accounting,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
2,ACCTG201,2020-01-01,EkrHil3oZ,5da7a52d25c43024004548bf,Financial Accounting,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
3,ACCTG202,2020-01-01,Vy8rsxhiW,5da8a5c19a654a2400d2eeb3,Managerial Accounting,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
4,ACCTG205,2022-01-01,NkxUrjehs-,6202ca0aaa637727f9b984da,Accounting Software,2021-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
5,ACCTG221R,2016-01-01,V1-UHjghsb,3adf387b-0450-4175-bd55-f1ba99f3aa98,Volunteer Income Tax Assistance,2016-01-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
6,ACCTG233,2021-01-01,4keOSoxni-,5fad733139ec960026f82a90,Spreadsheet Application,2020-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
7,ACCTG275,2020-01-01,rkzZ74T4M,5dfa92e349631b2500282195,Accounting Profession Exploration and Orientation,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
8,ACCTG299R,2016-01-01,N1wHse2sZ,227de682-e2ae-450e-8d83-b0241ec70dec,Special Projects,2016-01-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
9,ACCTG301,2020-01-01,E1gvBogniW,5dfa9a9c1741032500f640da,Intermediate Financial Accounting I,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
10,ACCTG302,2020-01-01,Ek-wrseho-,5daf421be3c99b240008566f,Intermediate Financial Accounting II,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
11,ACCTG312,2016-01-01,V1fPSig2j-,f04a8391-6111-40bf-aea3-38e59121941f,Cost Accounting,2016-01-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
12,ACCTG321,2020-01-01,NJvSsghsZ,5daf5c06e3c99b24000859a1,Income Taxation I,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
13,ACCTG322,2020-01-01,N1uBil2oZ,5daf5ea7e3c99b2400085a03,Income Taxation II,2019-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
14,ACCTG333B,2021-01-01,4yYSje2iW,5fad738f446c340026735c78,Advanced Spreadsheet Application,2020-12-01,ACCTG,Accounting,45beaa83-7d3c-4760-bdb1-6813f94d4097,578be6e1aeb3767907f3b4e8
