,jobID,title,departmentName,description,summary,displayJob,dateUpdated,startDate,endDate,managerName,approximateHoursPerWeek,payRate,positionsAllocated,positionsAvailble,workSchedule,beginningDate,recruitingStartDate,requireResume,limitApplicants,limitNumber,applicants,jobQuestions,isOnline,allowOnline,jobMajors
0,2179862,Online Teaching Assistant - PUBH 240,Campus Teaching Assistants,"<p><span>Teaching Assistants are needed for the PUBH 240: Intro to Public Health class. Applicants must have passed the course with an A- or better, have good interpersonal skills (cultural awareness), and exceptional English Writing and reading skills. </span> <span>Teaching Assistants are needed to do the following in the class:<br />• Grade the Preparation Assignments based on the rubrics provided in the course<br />• Notify instructor of incomplete or substandard student work for the instructor to address<br />• Regrade Preparation Assignment resubmissions upon approval<br />• Grade the weekly discussion boards (current event and job-of-the-week posts). </span><br /><span>Applicants must be living in Idaho or Utah.</span> T<span>As work in instructional teams. Timely completion of assigned work is crucial to success. TA&#39;s needs to be self-disciplined by being committed and consistent in working everyday to make sure all tasks are done on time.<br />For more information please contact the Online Academic Support Office at oas.employment&#64;byui.edu or call 208-496-1595.</span></p><p><b><span>Please upload your unofficial transcript to this application by following the steps below:</span></b></p><p><b><span>1. Sign into the BYUI website</span></b></p><p><b><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></b></p><p><b><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></b></p><p><b><span>4. Select &#34;Records&#34;</span></b></p><p><b><span>5. Then, click on &#34;transcript request&#34;</span></b></p><p><b><span>6. On the left click &#34;view unofficial transcript&#34;</span></b></p><p><b><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></b></p><p><b><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></b></p><p><b><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application</span></b></p>","Teaching Assistants are needed for the PUBH 240: Intro to Public Health class. Applicants must have passed the course with an A- or better, have good interpersonal skills (cultural awareness), and exceptional English Writing and reading skills. Applicants must be living in Idaho or Utah. See job description for more detail.",TRUE,2022-08-15T21:31:58.6209903,2022-08-12T08:00:00,2022-09-10T07:00:00,Jodi Robison,Up to 19 hours or when the work is done,10,100,92,Flexible,2022-09-12T07:00:00,2021-09-01T01:00:00,TRUE,FALSE,0,[],[],FALSE,FALSE,[]
1,675008,Online Tutor - GER 101,Online Student,"<p><span>Online Tutor is needed for the GER 101: </span>Beginning German I<span>. Help students succeed and choose your own weekly hours! The duties for this position include: posting 7 or more weekly hours in I-Plan, meeting with students over zoom, engaging daily in the student learning community (answer student questions, create learning resources, oversee peer-to-peer learning).  </span></p><p></p><p><span>Hiring Requirements: Applicants must be living in Idaho or Utah. Applicants must have taken the class and received an A- or better. Applicants must also have the following skills/attributes: time management, teaching, patience, goal setting, self motivation, and being active each day. </span></p><p></p><p><span>If hired, applicants will complete a training that will teach them effective tutoring practices as well as how to use I-Plan, Zoom, and the Online Student Community. Our office may contact you by phone or text during the hiring process. For more information please contact the Online Academic Support Office at oas.employment&#64;byui.edu or call 208-496-1595. </span></p><p></p><p><span>Please up-load your unofficial transcript to this application by following the steps below:</span></p><p></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p><p></p>",Online Tutor is needed for the GER 101: Beginning German I. Applicants must have taken the class and received an A- or better. Applicants must be living in Idaho or Utah. For more information please contact the Online Academic Support Office at 208-496-1595 or oas.employment@byui.edu.,TRUE,2022-08-15T21:06:35.666125,2022-08-15T18:00:00,2022-09-08T16:00:00,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutorin,10,100,100,Flexible,2022-09-12T16:00:00,2019-11-27T01:00:00,TRUE,TRUE,50,[],[],FALSE,TRUE,[]
2,341827,Online Tutor - GER 101,Campus Student,"<p><span>Online Tutor is needed for the GER 101. Help students succeed and choose your own weekly hours! The duties for this position include: posting 7 or more weekly hours in I-Plan, meeting with students over zoom, engaging daily in the student learning community (answer student questions, create learning resources, oversee peer-to-peer learning). </span><span> </span></p><p></p><p><span>Hiring Requirements: Applicants must be living in Idaho or Utah. Applicants must have taken the class and received an A- or better. Applicants must also have the following skills/attributes: time management, teaching, patience, goal setting, self motivation, and being active each day. </span></p><p></p><p><span>If hired, applicants will complete a training that will teach them effective tutoring practices as well as how to use I-Plan, Zoom, and the Online Student Community. Our office may contact you by phone or text during the hiring process. For more information please contact the Online Academic Support Office at oas.employment&#64;byui.edu or call 208-496-1595. </span></p><p></p><p><span>Please up-load your unofficial transcript to this application by following the steps below:</span></p><p></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p>","Tutor is needed for the GER 101 class. Applicants must have taken the class and received an A- or better. The hours for this job vary, depending on tutor load each week. Applicants must be living in Idaho or Utah.",TRUE,2022-08-15T21:05:31.3290361,2022-08-15T15:00:00,2022-09-08T17:00:00,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutorin,10,100,93,Flexible,2022-09-12T13:00:00,2019-01-15T01:00:00,TRUE,TRUE,50,[],[],TRUE,FALSE,[]
3,1361021,Online Teaching Assistant - BUS 321,Campus Teaching Assistants,"<p>A Teaching Assistant is needed for BUS 321 online. To qualify for the position, you must have taken the course and received a B or better. The job hours are flexible to the position. You must be living in Utah or Idaho.</p><p></p><p><span>Directions for downloading unofficial student transcripts</span></p><p><span> </span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p>","An Online Teaching Assistant is needed for BUS 321:Organizational Leadership. To qualify for the position, you must have taken the course and received a B or better. The job hours are flexible to the position. You must be living in Utah or Idaho.",TRUE,2022-08-15T21:01:59.5561735,2022-08-12T11:00:00,2022-09-10T10:00:00,Jodi Robison,10 hours per week,10,100,80,flexible,2022-09-12T10:00:00,2020-10-20T01:00:00,TRUE,TRUE,50,[],[],FALSE,FALSE,[]
4,287765,MC Afternoon Custodian,MC Day FMS,"<p>Job includes: cleaning restrooms, basic cleaning (dusting, wiping tables/chairs, sweeping, mopping, etc.), helping with event setup/take down, and other responsibilities as directed by supervisor.</p><p></p><p>Please be aware that the physical requirements of this job include:</p><ul><li><span>Carpet cleaning</span></li><li><span>Custodial work including the cleaning of restrooms and offices</span></li><li><span>Operation of heavy and sometimes awkward equipment</span></li><li><span>Walking and pushing carts</span></li><li><span>Carrying supplies and tools</span></li><li><span>The ability to lift up to 50 pounds required</span></li><li><span>Working with chemicals</span></li><li><span>Lifting hands above head, kneeling, walking, and standing for a 3 hour shift</span></li><li><span>And other assignments as requested</span></li></ul>","Shift is 2:30 PM-5:30 PM, Monday through Friday, and some Saturdays. THIS SCHEDULE IS FIRM.
Job includes: cleaning restrooms, basic cleaning (dusting, wiping tables/chairs, sweeping, mopping, etc.), helping with event setup/take down, and other responsibilities as directed by supervisor.",TRUE,2022-08-15T19:41:29.9338201,2022-07-21T01:00:00,2022-09-19T18:00:00,Danyelle Johnson,15,9.58,1000,968,M-F,2022-04-17T18:00:00,2017-08-31T01:00:00,TRUE,FALSE,0,[],[],FALSE,FALSE,[]
5,340682,MC Day Custodian,MC Day FMS,"<p>Job includes: cleaning restrooms, basic cleaning (dusting, wiping tables/chairs, sweeping, mopping, etc.), helping with event setup/take down, and other responsibilities as directed by supervisor.</p><p></p><p>Please be aware that the physical requirements of this job include:</p><ul><li><span>Carpet cleaning</span></li><li><span>Custodial work including the cleaning of restrooms and offices</span></li><li><span>Operation of heavy and sometimes awkward equipment</span></li><li><span>Walking and pushing carts</span></li><li><span>Carrying supplies and tools</span></li><li><span>The ability to lift up to 50 pounds required</span></li><li><span>Working with chemicals</span></li><li><span>Lifting hands above head, kneeling, walking, and standing for a 4 hour shift</span></li><li><span>And other assignments as requested</span></li></ul>","Shift is 11:30AM- 2:30PM, Monday through Friday, and some Saturdays.
THIS SCHEDULE IS FIRM. Job includes: cleaning restrooms, basic cleaning (dusting, wiping tables/chairs, sweeping, mopping, etc.), helping with event setup/take down, and other responsibilities as directed by supervisor.",TRUE,2022-08-15T19:41:06.0273709,2022-03-07T20:00:00,2022-08-27T18:00:00,Danyelle Johnson,15,9.58,1000,963,M-F,,2017-12-05T01:00:00,TRUE,FALSE,0,[],[],FALSE,FALSE,[]
6,3900435,Catering Services Lead,University Food Services,"<div>Qualifications</div><div><ul><li><span>Valid driver license</span></li></ul></div><div><ul><li><span>Excellent customer service skills</span></li></ul></div><div><ul><li><span>Must be polite, courteous, respectful, and maintain a professional appearance</span></li></ul></div><div><ul><li><span>Ability to communicate effectively with all levels within an organization</span></li></ul></div><div><ul><li><span>Must be able to work a flexible schedule with early start times</span></li></ul></div><div><div></div><div></div><div>We are looking for someone <b>off track</b> during the<b> Fall semester</b>. This position offers at least 20 hrs a week with the opportunity for more hours based on Catering needs.</div><div></div><div><b>Flexible Schedule </b></div><div><u><b><span>Starting at $12 PER HOUR and DISCOUNT ON FOOD each day you work.</span></b> </u></div></div>","In the role of Catering Lead, you will work in a fast-paced environment to ensure that our guests receive great food and service",TRUE,2022-08-15T19:22:16.6827492,2022-08-15T12:00:00,2022-09-05T18:00:00,Jesus Del Barrio Sanchez,20+,12,1,1,Flexible,2022-09-12T18:00:00,2022-07-28T01:00:00,TRUE,FALSE,0,[],[],FALSE,FALSE,[]
7,3898063,Food Services Student Jobs,University Food Services,"<p>Fast-paced, demanding job.  We need dependable, hard-working, and punctual people. Set times for positions. Must be willing to learn and take on more responsibilities as the job requires.</p><p></p><p><span class=""emphasis-3""><b>AVAILABLE SHIFTS</b></span></p><p><span class=""emphasis"">Special Cleaner | Mon &amp; Fri 2:30 pm - 6:20 pm, Sat 9 am-7 pm</span></p><p><span class=""emphasis"">Crossroads Lunch Block | 10:30 am - 2:00 pm</span></p><p><span class=""emphasis"">Garden View | 11:00 am - 2:30pm</span></p><p><span class=""emphasis"">Chick Fil A | 1:35pm - 5:20pm &amp; 10:45am - 2:30pm</span></p><p></p><p>Promotions are available based on performance.</p>",Fall Food Service Jobs Start at $10 PER HOUR and $3 DISCOUNT ON FOOD each day you work. We are looking for dynamic individuals who know how to work hard and can adapt to change in a fast-paced environment. Must be able to stand for long periods and lift up to 50 lbs. Learn and take on more responsibilities as we go through semester.,TRUE,2022-08-15T18:47:15.0210231,2022-08-13T12:00:00,2022-09-14T18:00:00,Fauneil Schultz,20-Oct,10,200,190,Many Shifts Available,2022-09-14T18:00:00,2022-06-01T01:00:00,TRUE,FALSE,0,[],[],FALSE,FALSE,[]
8,1625216,Online Teaching Assistant - AGBUS 180B,Campus Teaching Assistants,"<p><span>An online teaching assistant (TA) is needed for AGBUS 180B: Cash Accounting Concepts and Applications.  Applicants must have passed<b> AGBUS 180B and ECON 255</b> with a B or better. The TA will grade Excel Assignments. There will be a paid online certification training (2-3 hours) before working as a TA starts. If you have any questions please email the BYUI Online Academic Support Office at oas.employment&#64;byui.edu, or call us at (208) 496-1595. Our office may contact you by phone or text during the hiring process.</span></p><p></p><p></p><p>As part of the application process, please provide your <b><u>unofficial academic transcript</u></b> from BYUI, by attaching it to this application by doing the following:</p><p>1. Sign into the BYUI website</p><p>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</p><p>3. There is a &#34;more&#34; arrow on this menu. Click on that.</p><p>4. Select &#34;Records&#34;</p><p>5. Then, click on &#34;transcript request&#34;</p><p>6. On the left click &#34;view unofficial transcript&#34;</p><p>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</p><p>8. Once you see your transcript, you can download it as a PDF file on your computer or USB drive.</p><p>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</p>","An online teaching assistant (TA) is needed for AGBUS 180B: Cash Accounting Concepts and Applications. The TA will work completely online, so will need to have a computer with internet access. The TA will mostly grade  assignments.",TRUE,2022-08-15T18:33:01.4123915,2022-06-07T21:00:00,2022-12-21T20:00:00,Jodi Robison,up to 5,10,100,97,Flexible,2022-09-12T18:00:00,2021-01-15T01:00:00,TRUE,TRUE,50,[],[],FALSE,FALSE,[]
9,2751658,Online Teaching Assistant - AGBUS 180B,Online Student,"<p><span>The TA will help the instructor with administrative tasks such as grading and feedback, facilitating discussion boards, student outreach, etc. The TA should feel comfortable helping students with questions and leading exam sessions.</span></p><p></p><p><span>TAs work in instructional teams. Timely completion of assigned work is crucial to success. TA&#39;s needs to be self-disciplined by being committed and consistent in working every day to make sure all tasks are done on time.</span></p><p><br /> </p><p><span>Directions for downloading unofficial student transcripts</span></p><p><span> 1. Sign in to the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p>",A Teaching Assistant is needed for the AGBUS180B: Cash Accounting Concepts and Applications. Applicants must have taken the class and received an A- or better. Applicants must be living in Idaho or Utah. For more information please contact the Online Academic Support Office at 208-496-1595 or oas.employment@byui.edu.,TRUE,2022-08-15T18:32:55.402819,2022-06-07T16:00:00,2022-12-21T16:00:00,Jodi Robison,5,10,100,100,Flexible,2022-09-13T16:00:00,2021-11-02T01:00:00,TRUE,FALSE,0,[],[],FALSE,TRUE,[]
