,jobID,title,departmentName,description,summary,displayJob,dateUpdated,managerName,approximateHoursPerWeek,positionsAllocated,positionsAvailble,workSchedule,beginningDate,recruitingStartDate,requireResume,limitApplicants,limitNumber,applicants,jobQuestions,isOnline,allowOnline,jobMajors,startDate,endDate,payRate
0,3374,Lamprecht/Chapman Custodian,Chap / Lamp FMS,"<p>Carpet cleaning and custodial work around campus including restrooms and offices, operation of heavy and sometimes awkward equipment, walking and pushing carts, carrying supplies and tools, lifting up to 50 pounds is regularly required, working with chemicals, lifting hands above head, kneeling, walking, standing for 3 hour shift. Other assignments as requested.</p>",Shift is 7:00pm to 10:00pm Monday-Friday approximately 15 hours weekly.,True,2022-09-02T22:19:28.1743695,Katrese Speakman,15,1000.0,890.0,6:00pm to 9:00pm,2022-09-04T06:00:00,2016-02-28T01:00:00,True,True,5,[],[],False,False,[],,,
1,3647072,PM140 OnlineTutor,Online Student,"<p><b><span>The position requires to be trained as a tutor, use I-Plan to help students in the class setup tutoring appointments, and tutor students who are struggling in the class.</span></b></p><p></p><p><span>Please upload a copy of your unofficial transcript with application,</span></p><p><span>Directions for downloading unofficial student transcripts</span></p><p><span> </span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p>",A tutor is needed for the PM 140 (PMPC 140) class. Applicants must have taken the class and received an A- or better. Applicants must be living in Idaho or Utah. The tutor will use I-plan to set up hours of availability for students who need a tutor for the class. Hours worked is dependent on student demand for tutor help.For more information please contact the Online TA/Tutoring Office at 208-496-1595 or onlineta@byui.edu.,True,2022-09-02T21:52:10.6822319,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutorin,100.0,100.0,Hours worked may vary according to student demand,2022-09-14T07:00:00,2022-04-08T01:00:00,True,False,0,[],[],False,True,[],2022-09-02T07:00:00,2022-09-10T07:00:00,10.0
2,341563,ACCTG180 OnlineTutor,Campus Student,"<p><span>Online Tutor is needed for the ACCTG 180: </span>Survey of Accounting<span>. Help students succeed and choose your own weekly hours! The duties for this position include: posting 7 or more weekly hours in I-Plan, meeting with students over zoom, engaging daily in the student learning community (answer student questions, create learning resources, oversee peer-to-peer learning). </span></p><p></p><p><span> </span><span>Hiring Requirements: Applicants must be living in Idaho or Utah. Applicants must have taken the class and received an A- or better. Applicants must also have the following skills/attributes: time management, teaching, patience, goal setting, self motivation, and being active each day. </span></p><p></p><p><span>If hired, applicants will complete a training that will teach them effective tutoring practices as well as how to use I-Plan, Zoom, and the Online Student Community. Our office may contact you by phone or text during the hiring process. For more information please contact the Online Academic Support Office at oas.employment&#64;byui.edu or call 208-496-1595. </span></p><p></p><p><span>Please up-load your unofficial transcript to this application by following the steps below:</span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p>",Online Tutor is needed for the ACCTG 180: Survey of Accounting. Applicants must have taken the class and received an A- or better. Applicants must be living in Idaho or Utah. For more information please contact the Online Academic Support Office at 208-496-1595 or oas.employment@byui.edu.,True,2022-09-02T21:51:44.5045471,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutori,100.0,89.0,Flexible,2022-09-14T02:00:00,2018-10-24T01:00:00,True,False,0,[],[],True,False,[],2022-09-02T10:00:00,2022-09-09T02:00:00,10.0
3,342205,ACCTG180 OnlineTutor,Online Student,"<p><span> </span><span>Online Tutor is needed for the ACCTG 180. Help students succeed and choose your own weekly hours! The duties for this position include: posting 7 or more weekly hours in I-Plan, meeting with students over zoom, engaging daily in the student learning community (answer student questions, create learning resources, oversee peer-to-peer learning). </span></p><p><span> </span><span>Hiring Requirements: Applicants must be living in Idaho or Utah. Applicants must have taken the class and received an A- or better. Applicants must also have the following skills/attributes: time management, teaching, patience, goal setting, self motivation, and being active each day. </span></p><p></p><p><span>If hired, applicants will complete a training that will teach them effective tutoring practices as well as how to use I-Plan, Zoom, and the Online Student Community. Our office may contact you by phone or text during the hiring process. For more information please contact the Online Academic Support Office at oas.employment&#64;byui.edu or call 208-496-1595. </span></p><p></p><p><span>Please up-load your unofficial transcript to this application by following the steps below:</span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</span></p><p><span>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</span></p><p><span> </span><span> </span></p>","An Online Tutor is needed for ACCTG 180 online. Applicants must have taken the class and received an A- or better. Hours are flexible, but you need to set up 10 hours of availability per week. The position requires you to be trained as a tutor, use I-Plan to help students in the class setup tutoring appointments, and tutor students who are struggling in the class. Applicants must be living in Idaho or Utah. Our office may contact you by phone or text during the hiring process.",True,2022-09-02T21:48:02.210794,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutori,100.0,94.0,must have a minimum of 10 hours of availability,2022-09-13T19:00:00,2019-05-02T01:00:00,True,False,0,[],[],False,True,[],2022-09-02T19:00:00,2022-09-08T21:00:00,10.0
4,2399930,Chat Specialist,Main BSC Support Center,"<p>As a BYU-Idaho Customer Care Specialist, you will be working in a professional atmosphere, representing the University and upholding its standards. Your duties will include working in a fast pace environment to accurately and professionally resolve incoming questions and issues about BYU-Idaho and BYU-Idaho services. You will oversee and improve the University ChatBot, approve class authorizations and work on additional projects.</p><p></p><p>You will also be responsible for offering an excellent customer service experience. Employees will be held accountable for the service extended to customers and for maintaining a business professional mindset. Over time, exemplary performance will provide a variety of opportunities for growth and responsibility.</p><p></p><p>We are looking for students who:</p><ul><li>Exhibit clear communication skills</li><li>Enjoy talking to and are motivated to help resolve issues</li><li>Adapt well to change</li><li>Are receptive to constructive feedback</li><li>Possess creative problem-solving skills</li><li>Have proficient typing skills (at least 40 WPM)</li></ul><p></p><p>This position is a Monday-Friday commitment, 15-20 hours/week minimum. Extra shifts may be available for those who are interested in more hours. Agents must work the shift they are assigned 5 days of the week, no adjustments or exceptions can be made to the shifts hours. Available shifts may include</p><p></p><p><u><b>*See Available shifts below</b></u></p><p></p><p>During busy periods agents may be required to pick up extra shifts to assist with the volume. Agents may be required to work through breaks in between a semester.</p><p></p><p>This position requires attendance at a one week in-person training. The training will be in person and times will be arranged after you are hired.</p><p></p>",Your duties include working at a fast pace to accurately and professionally resolve incoming questions/issues about BYUI and BYUI services. You are responsible for offering an excellent customer service experience and are held accountable for the service extended to customers while maintaining a professional mindset.,True,2022-09-02T21:02:25.4063439,Abigayle Ludlow,,1000.0,946.0,"7am-10am, 10am-1pm",2022-09-12T06:00:00,2021-08-10T01:00:00,True,False,0,[],[],False,False,[],2022-09-01T06:00:00,2022-09-09T18:00:00,10.4
5,2399931,Email Specialist,Main BSC Support Center,"<p>As a BYU-Idaho Customer Care Specialist, you will be working in a professional atmosphere, representing the University and upholding its standards. Your duties will include working in a fast pace environment to accurately and professionally resolve incoming questions and issues about BYU-Idaho and BYU-Idaho services.</p><p>You will also be responsible for offering an excellent customer service experience. Employees will be held accountable for the service extended to customers and for maintaining a business professional mindset. Over time, exemplary performance will provide a variety of opportunities for growth and responsibility.</p><p></p><p>We are looking for students who:</p><ul><li>Exhibit clear communication skills</li><li>Enjoy talking to and are motivated to help resolve issues</li><li>Adapt well to change</li><li>Are receptive to constructive feedback</li><li>Possess creative problem-solving skills</li><li>Have proficient typing skills (at least 35 WPM)</li></ul><p></p><p>This position is a Monday-Friday commitment, 15-20 hours/week minimum. Extra shifts may be available for those who are interested in more hours. Agents must work the shift they are assigned 5 days of the week, no adjustments or exceptions can be made to the shifts hours. Available shifts may include</p><p></p><h1><b><u>*See available shifts below</u></b></h1><p></p><p>During busy periods agents may be required to pick up extra shifts to assist with the volume. Agents may be required to work through breaks in between a semester.</p><p></p><p>This position requires attendance at a one week in-person training. The training will be in person and times will be arranged after you are hired.</p>","Your duties include working at a fast pace to accurately and professionally resolve incoming questions/issues about BYUI and BYUI services. You will oversee and improve the University ChatBot, approve class authorizations and work on additional projects. You are responsible for offering an excellent customer service experience and are held accountable for the service extended to customers while maintaining a professional mindset.",True,2022-09-02T21:01:30.7969169,Abigayle Ludlow,,1000.0,959.0,1pm-5pm,2022-09-12T06:00:00,2021-08-10T01:00:00,True,False,0,[],[],False,False,[],2022-09-01T18:00:00,2022-09-09T18:00:00,10.4
6,1816844,Online Tutor - AGBPC 105 (Pathway),Campus Student,"<p><span>Online Tutor is needed for AGBPC 105: Entrepreneurship in Agribusiness (Pathway course) online. Applicants must have taken the class and received an A- or better. Hours are flexible, but you need to set up 10 hours of availability per week. The position requires you to be trained as a tutor, use I-Plan to help students in the class setup tutoring appointments, and tutor students who are struggling in the class. Applicants must be living in Idaho or Utah.</span></p><p></p><p><span>For more information please contact the Online Academic Support Office at 208-496-1595 or oas<a href=""mailto:.employment&#64;byui.edu"" target=""_blank"">.employment&#64;byui.edu</a>. Our office may contact you by phone or text during the hiring process.</span></p><p></p><p><span>Please upload a copy of your unofficial transcript with application.</span></p><p><span>Directions for downloading unofficial student transcripts:</span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;PDF unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or USB drive.</span></p>","Online Tutor is needed for AGBPC 105: Entrepreneurship in Agribusiness (Pathway course) online. Applicants must have taken the class, or AGBUS 105 and received an A- or better.  Applicants must be living in Idaho or Utah.",True,2022-09-02T20:46:08.0057346,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutori,100.0,99.0,Flexible,2022-04-20T07:00:00,2021-03-18T01:00:00,True,False,0,[],[],True,False,[],2022-01-29T16:00:00,2022-12-16T13:00:00,10.9
7,1816843,Online Tutor - AGBPC 105 (Pathway),Online Student,"<p><span>Online Tutor is needed for AGBPC 105: Entrepreneurship in Agribusiness (Pathway course) online. Applicants must have taken the class and received an A- or better. Hours are flexible, but you need to set up 10 hours of availability per week. The position requires you to be trained as a tutor, use I-Plan to help students in the class setup tutoring appointments, and tutor students who are struggling in the class. Applicants must be living in Idaho or Utah.</span></p><p></p><p><span>For more information please contact the Online Academic Support Office at 208-496-1595 or oas<a href=""mailto:.employment&#64;byui.edu"" target=""_blank"">.employment&#64;byui.edu</a>. Our office may contact you by phone or text during the hiring process.</span></p><p></p><p><span>Please upload a copy of your unofficial transcript with application.</span></p><p><span>Directions for downloading unofficial student transcripts:</span></p><p><span>1. Sign into the BYUI website</span></p><p><span>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</span></p><p><span>3. There is a &#34;more&#34; arrow on this menu. Click on that.</span></p><p><span>4. Select &#34;Records&#34;</span></p><p><span>5. Then, click on &#34;transcript request&#34;</span></p><p><span>6. On the left click &#34;view unofficial transcript&#34;</span></p><p><span>7. Two arrows come down underneath this. Click on &#34;PDF unofficial transcript&#34;.</span></p><p><span>8. Once you see your transcript, you can download it as a PDF file on your computer or USB drive.</span></p>","Online Tutor is needed for AGBPC 105: Entrepreneurship in Agribusiness (Pathway course) online. Applicants must have taken the class, or AGBUS 105 and received an A- or better.  Applicants must be living in Idaho or Utah.",True,2022-09-02T20:45:59.1966663,Casey McDaniel,5-10 hours (must post 7 hours of appt openings and work 3+ hours on tutori,100.0,100.0,Flexible,2022-04-20T13:00:00,2021-03-18T01:00:00,True,False,0,[],[],False,True,[],2022-01-29T23:00:00,2022-12-16T20:00:00,10.9
8,2633,Grounds Crew 9,Grounds,"<p>Caring for campus grounds and plants, weeding, raking, shoveling, lifting up to 50 pounds, sod replacement, mowing, and other jobs as requested by the supervisor. Once snow falls, the position will become on-call.</p>","Caring for the grounds on campus in areas assigned. Must be able to work a consistent 3-4 hours block between 6:00AM and 2:30PM Monday through Friday. Once snow falls, the position will become on-call.",True,2022-09-02T20:23:36.5166922,Elijah Walker,15-20,1000.0,933.0,3-4 hours block M-F,,2016-02-26T01:00:00,True,False,0,[],[],False,False,[],,,9.58
9,3899327,BUS321 OnlineGrader,Campus Teaching Assistants,"<p>An Online Grader is needed for BUS 321: Organizational Leadership. To qualify for the position, you must have taken the course and received a B&#43; or better. The job hours are flexible to the position. You must be living in Utah or Idaho.</p><p></p><p>For more information please contact the Online TA/Tutoring Office at 208-496-1595 or oas.employment&#64;byui.edu. Our office may contact you by phone or text during the hiring process. </p><p></p><p>Please upload a copy of your unofficial transcript with application,</p><p>Directions for downloading unofficial student transcripts</p><p> 1. Sign into the BYUI website</p><p>2 On the left, there are some menus to choose from. Choose the &#34;Academic Resources&#34; menu.</p><p>3. There is a &#34;more&#34; arrow on this menu. Click on that.</p><p>4. Select &#34;Records&#34;</p><p>5. Then, click on &#34;transcript request&#34;</p><p>6. On the left click &#34;view unofficial transcript&#34;</p><p>7. Two arrows come down underneath this. Click on &#34;pdf unofficial transcript&#34;.</p><p>8. Once you see your transcript, you can download it as a PDF file on your computer or usb drive.</p><p>9. Then upload this pdf file as one of the 3 attachments (resume, cover letter, transcript) on your application.</p>","An Online Grader is needed for BUS 321:Organizational Leadership. To qualify for the position, you must have taken the course and received a B+ or better. The job hours are flexible to the position. You must be living in Utah or Idaho.

For more information please contact the Online TA/Tutoring Office at 208-496-1595 or oas.employment@byui.edu. Our office may contact you by phone or text during the hiring process. 

Please upload a copy of your unofficial transcript with application,

Directions",True,2022-09-02T20:02:17.188106,Esther Zonts,Up to 19 hours or when the work is done,100.0,99.0,Flexible,2022-09-12T12:00:00,2022-07-05T01:00:00,True,False,0,[],[],False,False,[],2022-08-24T12:00:00,2022-09-10T12:00:00,10.0
