Nombre,Periodos parlamentarios,Comunas,Distrito,Región,Período Actual,Partido,Bancada,Email
María Candelaria Acevedo Sáez,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",maria.acevedo@congreso.cl
Eric Aedo Jeldres,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Demócrata Cristiano,eric.aedo@congreso.cl
Yovana Ahumada Palma,2022-2026,"Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",3,Región de Antofagasta,2022-2026,,Comité Partido de la Gente,yovana.ahumada@congreso.cl
Jorge Alessandri Vergara,"2018-2022, 2022-2026","Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",10,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,jorge.alessandri@congreso.cl
René Alinco Bustos,"2006-2010, 2010-2014, 2018-2022, 2022-2026","Coyhaique, Aysén, Chile Chico, O'Higgins, Cochrane, Guaitecas, Cisnes, Lago Verde, Tortel, Río Ibáñez",27,Región de Aysén del General Carlos Ibáñez del Campo,2022-2026,,Partido Por la Democracia,rene.alinco@congreso.cl
Jaime Araya Guerrero,2022-2026,"Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",3,Región de Antofagasta,2022-2026,,Partido Por la Democracia,jaime.araya@congreso.cl
Cristián Araya Lerdo de Tejada,2022-2026,"Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",11,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,cristian.araya@congreso.cl
Mónica Arce Castro,2022-2026,"La Pintana, Puente Alto, Pirque, La Florida, San José de Maipo",12,Región Metropolitana de Santiago,2022-2026,,Comité Ecologista Verde e Independientes,monica.arce@congreso.cl
Roberto Arroyo Muñoz,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",20,Región del Bío Bío,2022-2026,,Comité Partido de la Gente,roberto.arroyo@congreso.cl
Danisa Astudillo Peiretti,2022-2026,"Pica, Camiña, Colchane, Alto Hospicio, Huara, Pozo Almonte, Iquique",2,Región de Tarapacá,2022-2026,,Socialista,danisa.astudillo@congreso.cl
Chiara Barchiesi Chávez,2022-2026,"Papudo, Zapallar, Quillota, Hijuelas, Los Andes, Quintero, San Felipe, Panquehue, Villa Alemana, La Ligua, Puchuncaví, Santa María, Llay Llay, Petorca, Nogales, San Esteban, Putaendo, Cabildo, Calle Larga, Rinconada, Quilpué, Calera, La Cruz, Catemu, Olmué, Limache",6,Región de Valparaíso,2022-2026,,Comité Republicanos,chiara.barchiesi@congreso.cl
Boris Barrera Moreno,"2018-2022, 2022-2026","Conchalí, Huechuraba, Cerro Navia, Renca, Lo Prado, Recoleta, Independencia, Quinta Normal",9,Región Metropolitana de Santiago,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",boris.barrera@congreso.cl
