Country,Name,POS,AGE,HT,WT
Argentina,Esteban Andrada,G,31,"6'4""",182 lbs
Argentina,Franco Armani,G,35,"6'2""",194 lbs
Argentina,Federico Gomes Gerth,G,18,-,-
Argentina,Jeremias Ledesma,G,29,"6'0""",182 lbs
Argentina,Agustin Marchesin,G,34,"6'2""",182 lbs
Argentina,Emiliano Martinez,G,29,"6'4""",196 lbs
Argentina,Juan Musso,G,28,"6'3""",205 lbs
Argentina,Agustin Rossi,G,26,"6'4""",209 lbs
Argentina,Geronimo Rulli,G,30,"6'2""",185 lbs
Argentina,Marcos Acuna,D,30,"5'7""",152 lbs
Argentina,Gaston Avila,D,20,"5'11""",176 lbs
Argentina,Leonardo Balerdi,D,23,"6'1""",167 lbs
Argentina,Juan Foyth,D,24,"5'10""",152 lbs
Argentina,Walter Kannemann,D,31,"6'0""",169 lbs
Argentina,Lisandro Martinez,D,24,"5'10""",158 lbs
Argentina,Lucas Martinez,D,26,"6'0""",171 lbs
Argentina,Facundo Medina,D,23,"6'0""",-
Argentina,Nahuel Molina,D,24,"5'8""",152 lbs
Argentina,Gonzalo Montiel,D,25,"5'10""",152 lbs
Argentina,Nicolas Otamendi,D,34,"6'0""",182 lbs
Argentina,Jose Luis Palomino,D,32,"6'2""",191 lbs
Argentina,Nehuen Perez,D,22,"6'0""",167 lbs
Argentina,German Pezzella,D,31,"6'1""",180 lbs
Argentina,Marcos Rojo,D,32,"6'1""",180 lbs
Argentina,Cristian Romero,D,24,"6'0""",174 lbs
Argentina,Renzo Saravia,D,29,"5'9""",165 lbs
Argentina,Marcos Senesi,D,25,"6'0""",176 lbs
Argentina,Nicolas Tagliafico,D,29,"5'7""",147 lbs
Argentina,Thiago Almada,M,21,"5'7""",136 lbs
Argentina,Emiliano Buendia,M,25,"5'7""",143 lbs
Argentina,Valentin Carboni,M,17,-,-
Argentina,Angel Correa,M,27,"5'7""",149 lbs
Argentina,Rodrigo De Paul,M,28,"5'9""",156 lbs
Argentina,Angel Di Maria,M,34,"5'10""",165 lbs
Argentina,Nicolas Dominguez,M,24,"5'10""",160 lbs
Argentina,Eduardo Salvio,M,32,"5'8""",156 lbs
Argentina,Enzo Fernandez,M,21,"5'10""",147 lbs
Argentina,Tiago Geralnik,M,19,"5'10""",-
Argentina,Papu Gomez,M,34,"5'5""",149 lbs
Argentina,Manuel Lanzini,M,29,"5'5""",130 lbs
