Country,Name,POS,AGE,HT,WT
Argentina,Esteban Andrada,Midfielder,31,193.04,82.5
Argentina,Franco Armani,Midfielder,35,187.96,88.0
Argentina,Jeremias Ledesma,Midfielder,29,182.88,82.5
Argentina,Agustin Marchesin,Midfielder,34,187.96,82.5
Argentina,Emiliano Martinez,Midfielder,29,193.04,88.9
Argentina,Juan Musso,Midfielder,28,190.5,93.0
Argentina,Agustin Rossi,Midfielder,26,193.04,94.8
Argentina,Geronimo Rulli,Midfielder,30,187.96,83.9
Argentina,Marcos Acuna,Player count,30,170.18,68.9
Argentina,Gaston Avila,Player count,20,180.34,79.8
Argentina,Leonardo Balerdi,Player count,23,185.42000000000002,75.7
Argentina,Juan Foyth,Player count,24,177.8,68.9
Argentina,Walter Kannemann,Player count,31,182.88,76.6
Argentina,Lisandro Martinez,Player count,24,177.8,71.7
Argentina,Lucas Martinez,Player count,26,182.88,77.6
Argentina,Nahuel Molina,Player count,24,172.72,68.9
Argentina,Gonzalo Montiel,Player count,25,177.8,68.9
Argentina,Nicolas Otamendi,Player count,34,182.88,82.5
Argentina,Jose Luis Palomino,Player count,32,187.96,86.6
Argentina,Nehuen Perez,Player count,22,182.88,75.7
Argentina,German Pezzella,Player count,31,185.42000000000002,81.6
Argentina,Marcos Rojo,Player count,32,185.42000000000002,81.6
Argentina,Cristian Romero,Player count,24,182.88,78.9
Argentina,Renzo Saravia,Player count,29,175.26,74.8
Argentina,Marcos Senesi,Player count,25,182.88,79.8
Argentina,Nicolas Tagliafico,Player count,29,170.18,66.7
Argentina,Thiago Almada,Forward,21,170.18,61.7
Argentina,Emiliano Buendia,Forward,25,170.18,64.9
Argentina,Angel Correa,Forward,27,170.18,67.6
Argentina,Rodrigo De Paul,Forward,28,175.26,70.7
Argentina,Angel Di Maria,Forward,34,177.8,74.8
Argentina,Nicolas Dominguez,Forward,24,177.8,72.6
Argentina,Eduardo Salvio,Forward,32,172.72,70.7
Argentina,Enzo Fernandez,Forward,21,177.8,66.7
Argentina,Papu Gomez,Forward,34,165.1,67.6
Argentina,Manuel Lanzini,Forward,29,165.1,59.0
Argentina,Giovani Lo Celso,Forward,26,175.26,73.9
Argentina,Alexis MacAllister,Forward,23,175.26,69.8
Argentina,Cristian Medina,Forward,20,177.8,69.8
Argentina,Maximiliano Meza,Forward,30,180.34,79.8
Argentina,Exequiel Palacios,Forward,23,175.26,66.7
Argentina,Leandro Paredes,Forward,28,177.8,74.8
Argentina,Roberto Pereyra,Forward,31,180.34,76.6
Argentina,Guido Rodriguez,Forward,28,182.88,77.6
Argentina,Sergio Aguero,Defender,34,172.72,79.8
Argentina,Lucas Alario,Defender,29,182.88,77.6
Argentina,Julian Alvarez,Defender,22,167.64000000000001,70.7
Argentina,Lucas Boye,Defender,26,182.88,80.7
Argentina,Joaquin Correa,Defender,27,187.96,76.6
Argentina,Paulo Dybala,Defender,28,177.8,74.8
Argentina,Nicolas Gonzalez,Defender,24,177.8,71.7
Argentina,Lautaro Martinez,Defender,24,172.72,79.8
Argentina,Lionel Messi,Defender,35,167.64000000000001,66.7
Argentina,Lucas Ocampos,Defender,28,185.42000000000002,83.9
Argentina,Giovanni Simeone,Defender,27,180.34,80.7
Argentina,Santiago Simon,Defender,20,180.34,73.9
Argentina,Exequiel Zeballos,Defender,20,172.72,67.6
Australia,Adam Federici,Midfielder,37,187.96,89.8
Australia,Paul Izzo,Midfielder,27,182.88,80.7
Australia,Mitch Langerak,Midfielder,33,190.5,77.6
Australia,Andrew Redmayne,Midfielder,33,193.04,83.9
Australia,Mathew Ryan,Midfielder,30,182.88,81.6
Australia,Lawrence Thomas,Midfielder,30,185.42000000000002,79.8
Australia,Danny Vukovic,Midfielder,37,185.42000000000002,93.9
Australia,Aziz Behich,Player count,31,167.64000000000001,62.6
Australia,Jason Davidson,Player count,31,177.8,71.7
Australia,Milos Degenek,Player count,28,185.42000000000002,79.8
Australia,Thomas Deng,Player count,25,180.34,72.6
Australia,Callum Elder,Player count,27,177.8,66.7
Australia,Alexander Gersbach,Player count,25,182.88,72.6
Australia,Curtis Good,Player count,29,185.42000000000002,84.8
Australia,Rhyan Grant,Player count,31,172.72,76.6
Australia,Matthew Jurman,Player count,32,190.5,86.6
Australia,Fran Karacic,Player count,26,180.34,74.8
