Country,Name,POS,AGE,HT,WT
Argentina,Franco Armani,G,35,"6'2""",194 lbs
Argentina,Emiliano Martinez,G,30,"6'4""",196 lbs
Argentina,Geronimo Rulli,G,30,"6'2""",185 lbs
Argentina,Marcos Acuna,D,30,"5'7""",152 lbs
Argentina,Juan Foyth,D,24,"5'10""",152 lbs
Argentina,Lisandro Martinez,D,24,"5'10""",158 lbs
Argentina,Facundo Medina,D,23,"6'0""",-
Argentina,Nahuel Molina,D,24,"5'8""",152 lbs
Argentina,Gonzalo Montiel,D,25,"5'10""",152 lbs
Argentina,Nicolas Otamendi,D,34,"6'0""",182 lbs
Argentina,Nehuen Perez,D,22,"6'0""",167 lbs
Argentina,German Pezzella,D,31,"6'1""",180 lbs
Argentina,Cristian Romero,D,24,"6'0""",174 lbs
Argentina,Marcos Senesi,D,25,"6'0""",176 lbs
Argentina,Nicolas Tagliafico,D,30,"5'7""",147 lbs
Argentina,Thiago Almada,M,21,"5'7""",136 lbs
Argentina,Angel Correa,M,27,"5'7""",149 lbs
Argentina,Rodrigo De Paul,M,28,"5'9""",156 lbs
Argentina,Angel Di Maria,M,34,"5'10""",165 lbs
Argentina,Enzo Jeremias Fernandez,M,21,"5'10""",147 lbs
Argentina,Papu Gomez,M,34,"5'5""",149 lbs
Argentina,Giovani Lo Celso,M,26,"5'9""",163 lbs
Argentina,Alexis MacAllister,M,23,"5'9""",154 lbs
Argentina,Exequiel Palacios,M,24,"5'9""",156 lbs
Argentina,Leandro Paredes,M,28,"5'10""",165 lbs
Argentina,Guido Rodriguez,M,28,"6'0""",171 lbs
Argentina,Julian Alvarez,F,22,"5'6""",156 lbs
Argentina,Lucas Boye,F,26,"6'0""",178 lbs
Argentina,Joaquin Correa,F,28,"6'2""",169 lbs
Argentina,Paulo Dybala,F,28,"5'10""",165 lbs
Argentina,Nicolas Gonzalez,F,24,"5'10""",158 lbs
Argentina,Lautaro Martinez,F,25,"5'8""",176 lbs
Argentina,Lionel Messi,F,35,"5'6""",147 lbs
Australia,Adam Federici,G,37,"6'2""",198 lbs
Australia,Paul Izzo,G,27,"6'0""",178 lbs
Australia,Mitch Langerak,G,34,"6'3""",171 lbs
Australia,Andrew Redmayne,G,33,"6'4""",185 lbs
Australia,Mathew Ryan,G,30,"6'0""",180 lbs
Australia,Lawrence Thomas,G,30,"6'1""",176 lbs
Australia,Danny Vukovic,G,37,"6'1""",207 lbs
Australia,Aziz Behich,D,31,"5'6""",138 lbs
Australia,Jason Davidson,D,31,"5'10""",158 lbs
Australia,Milos Degenek,D,28,"6'1""",176 lbs
Australia,Thomas Deng,D,25,"5'11""",160 lbs
Australia,Callum Elder,D,27,"5'10""",147 lbs
Australia,Alexander Gersbach,D,25,"6'0""",160 lbs
Australia,Curtis Good,D,29,"6'1""",187 lbs
Australia,Rhyan Grant,D,31,"5'8""",169 lbs
Australia,Matthew Jurman,D,32,"6'3""",191 lbs
Australia,Fran Karacic,D,26,"5'11""",165 lbs
Australia,Joel King,D,21,-,-
Australia,Mark Milligan,D,37,"5'10""",171 lbs
Australia,Josh Risdon,D,30,"5'6""",154 lbs
Australia,Kye Rowles,D,24,"6'0""",198 lbs
Australia,Trent Sainsbury,D,30,"6'0""",167 lbs
Australia,Bradley Shaun Smith,D,28,"5'10""",154 lbs
Australia,Harry Souttar,D,23,"6'5""",176 lbs
Australia,Ruon Tongyik,D,25,"6'0""",176 lbs
Australia,Alex Wilkinson,D,38,"6'1""",182 lbs
Australia,Bailey Wright,D,30,"6'0""",185 lbs
Australia,Mohammad Amini,M,29,"5'8""",156 lbs
Australia,Nathaniel Atkinson,M,23,-,-
Australia,Brandon Borrello,M,27,"5'10""",174 lbs
Australia,Kenny Dougall,M,29,"5'11""",174 lbs
Australia,Denis Genreau,M,23,"5'6""",143 lbs
Australia,Craig Goodwin,M,30,"5'10""",160 lbs
Australia,James Holland,M,33,"5'11""",167 lbs
Australia,Ajdin Hrustic,M,26,"6'0""",154 lbs
Australia,Christopher Ikonomidis,M,27,"5'10""",176 lbs
Australia,Jackson Irvine,M,29,"6'2""",169 lbs
Australia,James Jeggo,M,30,"5'10""",156 lbs
Australia,Mathew Leckie,M,31,"5'11""",185 lbs
Australia,Massimo Luongo,M,30,"5'9""",167 lbs
Australia,Awer Mabil,M,27,"5'10""",143 lbs
Australia,Riley McGree,M,23,"5'10""",158 lbs
Australia,Conor Metcalfe,M,22,"5'10""",154 lbs
Australia,Aaron Mooy,M,32,"5'8""",158 lbs
Australia,Tom Rogic,M,29,"6'2""",194 lbs
Australia,Gianni Stensness,M,23,"6'0""",-
Australia,Ryan Strain,M,25,"5'11""",167 lbs
Australia,Daniel Arzani,F,23,"5'8""",160 lbs
Australia,Martin Boyle,F,29,"5'10""",116 lbs
Australia,Nicholas D'Agostino,F,24,"5'8""",169 lbs
Australia,Mitchell Duke,F,31,"6'1""",185 lbs
Australia,Ben Folami,F,23,"5'6""",154 lbs
Australia,Bruno Fornaroli,F,35,"5'8""",149 lbs
Australia,Apostolos Giannou,F,32,"6'4""",187 lbs
Australia,Robbie Kruse,F,34,"5'10""",145 lbs
Australia,Jamie MacLaren,F,29,"5'10""",158 lbs
Australia,Ryan McGowan,F,33,"5'8""",149 lbs
Australia,Andrew Nabbout,F,29,"5'10""",187 lbs
Australia,Dimitri Petratos,F,29,"5'9""",158 lbs
Australia,Nikita Rukavytsya,F,35,"6'0""",165 lbs
Australia,Adam Taggart,F,29,"5'10""",160 lbs
Australia,Marco Tilio,F,21,-,-
Belgium,Koen Casteels,G,30,"6'5""",171 lbs
Belgium,Thibaut Courtois,G,30,"6'6""",211 lbs
Belgium,Simon Mignolet,G,34,"6'3""",191 lbs
Belgium,Toby Alderweireld,D,33,"6'1""",178 lbs
Belgium,Timothy Castagne,D,26,"6'0""",176 lbs
Belgium,Zeno Debast,D,18,"6'3""",-
Belgium,Thomas Meunier,D,31,"6'3""",198 lbs
Belgium,Arthur Theate,D,22,"6'3""",-
Belgium,Jan Vertonghen,D,35,"6'2""",174 lbs
Belgium,Yannick Carrasco,M,29,"5'10""",147 lbs
Belgium,Kevin De Bruyne,M,31,"5'11""",149 lbs
Belgium,Charles De Ketelaere,M,21,"6'3""",-
Belgium,Thorgan Hazard,M,29,"5'8""",156 lbs
Belgium,Amadou Mvom Onana,M,21,"6'2""",-
Belgium,Alexis Saelemaekers,M,23,"5'10""",158 lbs
Belgium,Youri Tielemans,M,25,"5'9""",158 lbs
Belgium,Hans Vanaken,M,30,"6'4""",169 lbs
Belgium,Axel Witsel,M,33,"6'1""",178 lbs
Belgium,Michy Batshuayi,F,29,"6'0""",171 lbs
Belgium,Eden Hazard,F,31,"5'8""",163 lbs
Belgium,Dodi Lukebakio,F,25,"6'1""",169 lbs
Belgium,Lois Openda,F,22,"5'8""",154 lbs
Belgium,Leandro Trossard,F,27,"5'7""",134 lbs
Brazil,Alisson,G,30,"6'3""",200 lbs
Brazil,Ederson,G,29,"6'2""",189 lbs
Brazil,Weverton,G,34,"6'2""",196 lbs
Brazil,Dani Alves,D,39,"5'7""",149 lbs
Brazil,Guilherme Arana,D,25,"5'9""",165 lbs
Brazil,Bremer,D,25,"6'2""",176 lbs
