,Name,Features,Phone,Suite,Logo_url,Category1,Category2,Status,Deal
0,85C Bakery Cafe,"['specialty-food', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', 'desserts', 'taiwanese', 'boba-bubble-tea', 'bakeries', '']",(949) 727-0985,915,https://images.ctfassets.net/l16b5usqno44/umb-media-74922/e3d6ed05708a44a07d89fbed068e5c90/store-logo-85cbakerycafe.jpg?w=223&fm=png,dining,restaurants,,False
1,adidas,"['children-s-apparel', 'men-s-apparel', 'shoes-handbags-luggage', 'sporting-goods-active-wear', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 753-0305,650,https://images.ctfassets.net/l16b5usqno44/umb-media-74924/dd629257f147701583e5110823eb5b65/store-logo-adidas.png?w=223&fm=png,shopping,stores,,False
2,aerie,"['women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-9186,721,https://images.ctfassets.net/l16b5usqno44/umb-media-74925/0bd263a0a6dcb31592ea33b7e251757b/store-logo-aerie.png?w=223&fm=png,shopping,stores,,False
3,Afters Ice Cream,"['specialty-food', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'desserts', '']",,918,https://images.ctfassets.net/l16b5usqno44/umb-media-74926/94f56aa34af23ac0a831c0c350b8ad23/store-logo-aftersicecream.jpg?w=223&fm=png,dining,restaurants,,False
4,Alley,"['specialty-food', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'coffee-tea', '']",(949) 932-0634,507,https://images.ctfassets.net/l16b5usqno44/umb-media-75100/491629ae87b8781c5c456c61478fceea/store-logo-thealley.png?w=223&fm=png,dining,restaurants,,False
5,American Eagle,"['men-s-apparel', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-9186,721,https://images.ctfassets.net/l16b5usqno44/umb-media-74929/69df8ae6f56f391b127c7d265ea08331/store-logo-americaneagle.png?w=223&fm=png,shopping,stores,,False
6,Anthropologie,"['accessories', 'beauty', 'books-cards-gifts', 'home-furnishings-decor', 'jewelry-timepieces', 'shoes-handbags-luggage', 'swimwear', 'women-s-apparel', 'curbside-pickup', 'in-store-shopping', '']",(949) 341-0104,803,https://images.ctfassets.net/l16b5usqno44/umb-media-74932/495495a77d63dfa823dc0ee7c3f59363/store-logo-anthropologie.png?w=223&fm=png,shopping,stores,,False
7,Apple ,"['electronics-home-entertainment', 'by-appointment', 'curbside-pickup', 'in-store-shopping', '']",(949) 255-1500,930,https://images.ctfassets.net/l16b5usqno44/umb-media-74933/43d2d9b6cc61aba2ba6137e9fbc1a1d3/store-logo-apple.png?w=223&fm=png,shopping,stores,,False
8,ATT,"['electronics-home-entertainment', 'in-store-shopping', '']",(949) 396-2393,519,https://images.ctfassets.net/l16b5usqno44/umb-media-74937/6d36103a04605fd75b013917531f8df7/store-logo-att-plain.png?w=223&fm=png,shopping,stores,,False
9,Auntie Anne's Pretzels,"['specialty-food', 'curbside-pickup', 'delivery', 'dine-in', 'outdoor-seating', 'takeout', 'pretzels', 'deals']",(949) 453-0643,737,https://images.ctfassets.net/l16b5usqno44/umb-media-74938/9587f6921bcd061b48f924caf4294b25/store-logo-auntieannes.jpg?w=223&fm=png,dining,restaurants,,True
