,id,suggestion,author,date_created,last_upvoted,comments,status,votes
0,161005,See who i have liked,Moses,"19 Feb, 2021",today,81,Feedback Needed,1.2000
1,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",yesterday,35,Feedback Needed,627
2,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,54,Feedback Needed,598
3,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,42,Feedback Needed,521
4,164928,Filter church activity,Moses,"01 Mar, 2021",30 Oct,47,Released,483
5,296565,Remove swipe limit,Sheppard,30 Apr,yesterday,66,Feedback Needed,381
6,161000,Dark mode,Moses,"19 Feb, 2021",2 days ago,11,Feedback Needed,224
7,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",30 Oct,18,Feedback Needed,206
8,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,4,Feedback Needed,199
9,161961,Conversation prompts,Moses,"22 Feb, 2021",28 Oct,26,Feedback Needed,167
10,165044,Neighboring countries filter,Erik,"02 Mar, 2021",today,19,Feedback Needed,164
11,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",today,18,Feedback Needed,162
12,165991,Search by name,Morgan,"03 Mar, 2021",01 Nov,27,Feedback Needed,155
13,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",01 Nov,4,Feedback Needed,139
14,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",25 Oct,6,Feedback Needed,129
15,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",29 Oct,27,Feedback Needed,128
16,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",2 days ago,20,Feedback Needed,117
17,170306,Profile analytics,Robert,"17 Mar, 2021",30 Oct,19,Feedback Needed,115
18,179902,Mutual games,Joe,"17 Apr, 2021",20 Oct,11,Feedback Needed,106
19,169249,Video call speed dating,Anonymous,"13 Mar, 2021",18 Oct,14,Feedback Needed,94
20,169448,Change unmatch reasons,Nate,"15 Mar, 2021",14 Oct,9,Feedback Needed,78
21,176350,Display full name,KH,"05 Apr, 2021",14 Oct,38,Feedback Needed,76
22,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",01 Nov,2,Feedback Needed,74
23,175785,Bring back old matches,Greg,"01 Apr, 2021",2 days ago,5,Feedback Needed,72
24,164958,Nudges or reminders,Sarah,"02 Mar, 2021",29 Sep,2,Feedback Needed,70
25,338157,Display where the person actually lives instead of just where that person is tra,Angie,21 Oct,today,1,Feedback Needed,5
26,334432,See notes sent and read status,Trevor,03 Oct,01 Nov,1,Feedback Needed,5
27,336290,Make notes great again,N,12 Oct,18 Oct,0,Feedback Needed,4
28,334096,Filter by school attendance,Jacob,01 Oct,19 Oct,0,Feedback Needed,4
29,337572,People who have liked me can bypass filters,Tustin,19 Oct,24 Oct,0,Feedback Needed,3
30,335574,Stop just swipe and allow more communication,Zac,08 Oct,today,0,Feedback Needed,2
31,332372,Filter by persons name,Jonathan Hansen,25 Sep,19 Oct,0,Feedback Needed,2
32,329849,Short profile videos,Samuel Roberts,15 Sep,15 Sep,1,Feedback Needed,1
33,337834,Lets talk about prompt,Virginia,20 Oct,20 Oct,0,Feedback Needed,1
34,336846,Member status filter,Tyler,14 Oct,14 Oct,0,Feedback Needed,1
35,333056,Edit a message that has been sent,Richard Bernal,27 Sep,27 Sep,0,Feedback Needed,1
36,332306,Add how many kids,Stacie Tillotson,24 Sep,24 Sep,0,Feedback Needed,1
37,328515,Delete messages,LÃ­a,11 Sep,11 Sep,0,Feedback Needed,1
38,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",31 Oct,132,Open,1.1000
39,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",29 Oct,10,Open,288
40,161959,Filter has children or not,Moses,"22 Feb, 2021",13 Oct,29,Released,256
41,161947,Filter interest level,Moses,"22 Feb, 2021",19 Oct,39,Released,243
42,157427,Video chat,Moses,"03 Feb, 2021",yesterday,24,Released,190
43,175881,Free trial,Erica,"01 Apr, 2021",yesterday,26,Closed,156
44,164933,Filter temple recommend,Moses,"01 Mar, 2021",29 Oct,16,Released,145
45,161963,Filter politics,Moses,"22 Feb, 2021",19 Oct,25,Closed,143
46,164926,Share a profile,Moses,"01 Mar, 2021",19 Oct,21,Released,134
47,161966,Filter divorced,Moses,"22 Feb, 2021",01 Nov,27,Released,120
48,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",13 Oct,12,Closed,88
49,169296,Filter weight,Pedro,"14 Mar, 2021",14 Oct,32,Closed,86
50,161005,See who i have liked,Moses,"19 Feb, 2021",today,81,Feedback Needed,1.2000
51,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",yesterday,35,Feedback Needed,627
52,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,54,Feedback Needed,598
53,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,42,Feedback Needed,521
54,164928,Filter church activity,Moses,"01 Mar, 2021",30 Oct,47,Released,483
55,296565,Remove swipe limit,Sheppard,30 Apr,yesterday,66,Feedback Needed,381
56,161000,Dark mode,Moses,"19 Feb, 2021",2 days ago,11,Feedback Needed,224
57,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",30 Oct,18,Feedback Needed,206
58,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,4,Feedback Needed,199
59,161961,Conversation prompts,Moses,"22 Feb, 2021",28 Oct,26,Feedback Needed,167
60,165044,Neighboring countries filter,Erik,"02 Mar, 2021",today,19,Feedback Needed,164
61,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",today,18,Feedback Needed,162
62,165991,Search by name,Morgan,"03 Mar, 2021",01 Nov,27,Feedback Needed,155
63,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",01 Nov,4,Feedback Needed,139
64,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",25 Oct,6,Feedback Needed,129
65,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",29 Oct,27,Feedback Needed,128
66,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",2 days ago,20,Feedback Needed,117
67,170306,Profile analytics,Robert,"17 Mar, 2021",30 Oct,19,Feedback Needed,115
68,179902,Mutual games,Joe,"17 Apr, 2021",20 Oct,11,Feedback Needed,106
69,169249,Video call speed dating,Anonymous,"13 Mar, 2021",18 Oct,14,Feedback Needed,94
70,169448,Change unmatch reasons,Nate,"15 Mar, 2021",14 Oct,9,Feedback Needed,78
71,176350,Display full name,KH,"05 Apr, 2021",14 Oct,38,Feedback Needed,76
72,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",01 Nov,2,Feedback Needed,74
