,page,id,suggestion,author,date_created,last_upvoted,comments,status,votes
0,1,161005,See who i have liked,Moses,"19 Feb, 2021",today,81,Feedback Needed,1.2000
1,1,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",yesterday,35,Feedback Needed,627
2,1,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,54,Feedback Needed,598
3,1,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,42,Feedback Needed,521
4,1,164928,Filter church activity,Moses,"01 Mar, 2021",30 Oct,47,Released,483
5,1,296565,Remove swipe limit,Sheppard,30 Apr,today,66,Feedback Needed,382
6,1,161000,Dark mode,Moses,"19 Feb, 2021",2 days ago,11,Feedback Needed,224
7,1,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",30 Oct,18,Feedback Needed,206
8,1,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,4,Feedback Needed,199
9,1,161961,Conversation prompts,Moses,"22 Feb, 2021",28 Oct,26,Feedback Needed,167
10,1,165044,Neighboring countries filter,Erik,"02 Mar, 2021",today,19,Feedback Needed,164
11,1,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",today,18,Feedback Needed,162
12,1,165991,Search by name,Morgan,"03 Mar, 2021",01 Nov,27,Feedback Needed,155
13,1,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",01 Nov,4,Feedback Needed,139
14,1,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",25 Oct,6,Feedback Needed,129
15,1,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",29 Oct,27,Feedback Needed,128
16,1,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",2 days ago,20,Feedback Needed,117
17,1,170306,Profile analytics,Robert,"17 Mar, 2021",30 Oct,19,Feedback Needed,115
18,1,179902,Mutual games,Joe,"17 Apr, 2021",20 Oct,11,Feedback Needed,106
19,1,169249,Video call speed dating,Anonymous,"13 Mar, 2021",18 Oct,14,Feedback Needed,94
20,1,169448,Change unmatch reasons,Nate,"15 Mar, 2021",14 Oct,9,Feedback Needed,78
21,1,176350,Display full name,KH,"05 Apr, 2021",14 Oct,38,Feedback Needed,76
22,1,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",01 Nov,2,Feedback Needed,74
23,1,175785,Bring back old matches,Greg,"01 Apr, 2021",2 days ago,5,Feedback Needed,72
24,1,164958,Nudges or reminders,Sarah,"02 Mar, 2021",29 Sep,2,Feedback Needed,70
25,1,338157,Display where the person actually lives instead of just where that person is tra,Angie,21 Oct,today,1,Feedback Needed,5
26,1,334432,See notes sent and read status,Trevor,03 Oct,01 Nov,1,Feedback Needed,5
27,1,336290,Make notes great again,N,12 Oct,18 Oct,0,Feedback Needed,4
28,1,334096,Filter by school attendance,Jacob,01 Oct,19 Oct,0,Feedback Needed,4
29,1,337572,People who have liked me can bypass filters,Tustin,19 Oct,24 Oct,0,Feedback Needed,3
