votes,id,suggestion,author,date_created,last_upvoted,comments,status
1000,161005,See who i have liked,Moses,"19 Feb, 2021",today,72,Planned
507,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,46,In Development
444,164928,Filter church activity,Moses,"01 Mar, 2021",today,41,In Development
365,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,35,Under consideration
240,161959,Filter children,Moses,"22 Feb, 2021",today,21,In Development
226,161947,Filter interest level,Moses,"22 Feb, 2021",today,36,In Development
199,296565,Remove swipe limit,Sheppard,30 Apr,today,35,Under consideration
172,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",today,11,Under consideration
124,165044,Neighboring countries filter,Erik,"02 Mar, 2021",yesterday,13,Under consideration
58,176350,Display full name,KH,"05 Apr, 2021",08 Jul,20,Under consideration
29,253422,Description first optionally,Jackson,"03 Dec, 2021",08 Jul,0,Under consideration
1000,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",today,87,Under consideration
467,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",today,25,Under consideration
245,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",yesterday,9,Under consideration
180,157427,Video chat,Moses,"03 Feb, 2021",08 Jul,21,Done
171,161000,Dark mode,Moses,"19 Feb, 2021",yesterday,9,Under consideration
162,161961,Conversation prompts,Moses,"22 Feb, 2021",09 Jul,24,Done
162,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,2,Done
148,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",09 Jul,17,Done
141,164933,Filter temple recommend,Moses,"01 Mar, 2021",today,12,In Development
135,161963,Filter politics,Moses,"22 Feb, 2021",today,19,In Development
132,164926,Share a profile,Moses,"01 Mar, 2021",today,21,Done
129,175881,Free trial,Erica,"01 Apr, 2021",2 days ago,25,Done
119,165329,Increase photo count,Qaseem Maajid-Bey,"02 Mar, 2021",today,3,Under consideration
115,176355,When reporting someone there should be an option to upload screenshots,KH,"05 Apr, 2021",today,3,Under consideration
111,161966,Filter divorced,Moses,"22 Feb, 2021",today,25,In Development
111,165991,Search by name,Morgan,"03 Mar, 2021",2 days ago,15,Under consideration
100,170628,Match explanations,Aidan Nemelka,"18 Mar, 2021",09 Jul,3,Planned
96,174999,Allow short videos to be added to profile,Jeannine,"30 Mar, 2021",09 Jul,23,Under consideration
92,165068,Age corrections,Meg,"02 Mar, 2021",2 days ago,3,Under consideration
91,170306,Profile analytics,Robert,"17 Mar, 2021",2 days ago,13,Under consideration
84,179902,Mutual games,Joe,"17 Apr, 2021",yesterday,10,Under consideration
82,165005,Share photos send photos in chat,Ejkl,"02 Mar, 2021",today,11,Under consideration
80,172181,Filter those that like you,Collin,"21 Mar, 2021",2 days ago,6,Done
75,169249,Video call speed dating,Anonymous,"13 Mar, 2021",09 Jul,11,Under consideration
75,176175,Dealbreakers,Damian,"03 Apr, 2021",2 days ago,8,In Development
74,172738,Show likelyhood to respond,Josh,"23 Mar, 2021",2 days ago,8,Under consideration
69,169296,Filter weight,Pedro,"14 Mar, 2021",today,18,Not planned
68,169448,Change unmatch reasons,Nate,"15 Mar, 2021",2 days ago,7,In Development
63,171625,An are you dating someone thing,Mathieu Brewer,"20 Mar, 2021",2 days ago,4,Under consideration
61,170905,Penalize ignoring a message from a match,Daniel,"18 Mar, 2021",yesterday,17,Under consideration
60,164958,Nudges or reminders,Sarah,"02 Mar, 2021",2 days ago,2,In Development
56,175785,Bring back old matches,Greg,"01 Apr, 2021",08 Jul,3,Under consideration
56,172670,Show approximate number of people in range,Robert,"17 Mar, 2021",2 days ago,2,Under consideration
54,170894,Filter specific tag,Sanford Bassett,"18 Mar, 2021",08 Jul,61,Under consideration
54,179921,Notes should be one per day anytime i want to use it not once every 24 hrs exact,Eliot,"18 Apr, 2021",08 Jul,4,In Development
47,184861,List view of people whove liked you,Anonymous,"12 May, 2021",yesterday,7,Done
43,170233,Group date feature,Jaden,"16 Mar, 2021",07 Jul,6,Under consideration
43,172119,A notification sound,Bradley,"21 Mar, 2021",08 Jul,2,Planned
42,161964,Filter pets,Moses,"22 Feb, 2021",07 Jul,1,In Development
39,176262,Add additional location filter by state,Ryan,"04 Apr, 2021",yesterday,5,Under consideration
38,180047,Not for me instead of no reason,Kay,"19 Apr, 2021",08 Jul,1,In Development
