,id,suggestion,author,date_created,last_upvoted,comments,votes,Description
0,161005,See who i have liked,Moses,"19 Feb, 2021",today,72,1000,A feature that allows you to see a queue of users that you have swiped up on so that you can send notes and revisit.
1,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,46,507,"A feature that allows you to see how active a user is (e.g., last online 4 hours ago)."
2,164928,Filter church activity,Moses,"01 Mar, 2021",today,41,444,The current options we are thinking of are: Not a memberNot activeLess activeActiveAll in Do you think you have a better option list? Should this be optional or mandatory? Share a comment!
3,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,35,365,"A feature to let you skip a profile and have it come up again later. Sometimes the swiping can be a little indecisive and it would be cool to have an option that isn't as absolute as a down-swipe. (It could even work similar to the Notes feature, that you can only skip a certain number of profiles in a day or something, or more often for the paid version of the app). It would also make navigating the ""See Who Likes Me"" section much easier."
4,161959,Filter children,Moses,"22 Feb, 2021",today,21,240,Filter users based on if they have children or not.
5,161947,Filter interest level,Moses,"22 Feb, 2021",today,36,226,"Currently, we allow you to scale your dating interest level... (e.g., Into Dating I guess, Seeking Friends, Up for Ice Cream, Down for Dates, Up for Dancing!, Looking for Fun, Down for Sweet Dates, Looking for Romance, Seeking a Relationship, Read for a Ring). Cut the chase and filter those who have the same interest level as you do."
6,296565,Remove swipe limit,Sheppard,30 Apr,today,35,199,"As someone who doesn't get tons of matches, it is heart breaking to see and get a limit on swiping. I don't want to pay to increase my chances of matching with someone. Please remove the swipe limit. I'd rather run out of swipes then get told I can't swipe anymore today."
7,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",today,11,172,"Use voice notes in addition to typing, makes chatting more engaging and convenient for users."
8,165044,Neighboring countries filter,Erik,"02 Mar, 2021",yesterday,13,124,"Add the filter for ' neighboring countries'. For all us that don't live in the US this feauture would really help and do expand ones search area that's still somewhat close to you, with out going to 'world wide' search."
9,176350,Display full name,KH,"05 Apr, 2021",08 Jul,20,58,"Like Hinge, make it so that if you provide a last name on your profile, it will be shared with users you match with."
10,253422,Description first optionally,Jackson,"03 Dec, 2021",08 Jul,0,29,"Have an option to have the description appear first and then tap to see the pictures. I don't want to use Mutual anymore because I feel it is reinforcing my bad habit of objectifying people and deciding my interest in them primarily based on their looks, and that makes me feel gross. I think switching it so the photos don't appear until you tap, or at least having the option to set it that way if you want, would help."
11,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",today,87,1000,"There are so many queer lds members that are trying their best to be happy and still be active in the church and not be suicidal. Many of us are trying to find someone who supports our efforts to keep going to church in this church because we love it and we don't want to leave it. We want to feel welcomed and loved there, and it would be easier to find a path to happiness and also activity in the church if we could meet other queer Mormons."
12,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",today,25,467,"You have ads that pop up occasionally  anyway, and the ""watch an ad to undo"" feature. Having the option to watch an ad to see who likes you would give people a bit more freedom on the app. You could also limit it to something like three ads in a twenty-four hour period."
13,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",yesterday,9,245,"On the Mutual user's birthday, they will be upgraded to MutualUp (premium features) for 24 hours as a birthday gift from Mutual!"
14,157427,Video chat,Moses,"03 Feb, 2021",08 Jul,21,180,Add the video chat feature so users can video chat with each other.
15,161000,Dark mode,Moses,"19 Feb, 2021",yesterday,9,171,Light-on-dark color scheme. This color scheme uses light-colored text and icons on a dark background.
16,161961,Conversation prompts,Moses,"22 Feb, 2021",09 Jul,24,162,"It would be nice to have different conversation starters to help you break the ice when matching with another user (e.g., two truths and a lie, best discovery: Netflix or Avocados? etc.)."
17,164962,Hide inactive profiles,Dallin,"02 Mar, 2021",today,2,162,"Profiles that are inactive are hidden after an amount of time. This way when you review those that have liked you, if they haven't been active due to ""they got married or are in a relationship now"" and forgot to delete/ deactivate their profile,  you won't be matching with them and not hearing back from those that are no long available."
18,165319,Higher character count in bio,Qaseem,"02 Mar, 2021",09 Jul,17,148,Increase the current character count by 150-200 characters when typing a bio.
19,164933,Filter temple recommend,Moses,"01 Mar, 2021",today,12,141,Filter through users who have a current temple recommend or not.
20,161963,Filter politics,Moses,"22 Feb, 2021",today,19,135,"Republican, Democrat, Libertarian, other?"
