,id,suggestion,author,date_created,last_upvoted,comments,status,votes,Description
0,161005,See who i have liked,Moses,"19 Feb, 2021",today,72,Planned,1000,A feature that allows you to see a queue of users that you have swiped up on so that you can send notes and revisit.
1,161962,Last onlinerecently active,Moses,"22 Feb, 2021",today,48,In Development,527,"A feature that allows you to see how active a user is (e.g., last online 4 hours ago)."
2,164928,Filter church activity,Moses,"01 Mar, 2021",11 Aug,42,Done,458,The current options we are thinking of are: Not a memberNot activeLess activeActiveAll in Do you think you have a better option list? Should this be optional or mandatory? Share a comment!
3,177816,Skip a profile save for later,Brian,"11 Apr, 2021",today,36,Under consideration,401,"A feature to let you skip a profile and have it come up again later. Sometimes the swiping can be a little indecisive and it would be cool to have an option that isn't as absolute as a down-swipe. (It could even work similar to the Notes feature, that you can only skip a certain number of profiles in a day or something, or more often for the paid version of the app). It would also make navigating the ""See Who Likes Me"" section much easier."
4,296565,Remove swipe limit,Sheppard,30 Apr,yesterday,41,Under consideration,252,"As someone who doesn't get tons of matches, it is heart breaking to see and get a limit on swiping. I don't want to pay to increase my chances of matching with someone. Please remove the swipe limit. I'd rather run out of swipes then get told I can't swipe anymore today."
5,161959,Filter children,Moses,"22 Feb, 2021",today,22,Done,251,Filter users based on if they have children or not.
6,161947,Filter interest level,Moses,"22 Feb, 2021",09 Aug,37,Done,236,"Currently, we allow you to scale your dating interest level... (e.g., Into Dating I guess, Seeking Friends, Up for Ice Cream, Down for Dates, Up for Dancing!, Looking for Fun, Down for Sweet Dates, Looking for Romance, Seeking a Relationship, Read for a Ring). Cut the chase and filter those who have the same interest level as you do."
7,169459,Voice messaging,Johnson Daniel Kalu,"15 Mar, 2021",13 Aug,11,Under consideration,181,"Use voice notes in addition to typing, makes chatting more engaging and convenient for users."
8,165044,Neighboring countries filter,Erik,"02 Mar, 2021",today,16,Under consideration,139,"Add the filter for ' neighboring countries'. For all us that don't live in the US this feauture would really help and do expand ones search area that's still somewhat close to you, with out going to 'world wide' search."
9,176350,Display full name,KH,"05 Apr, 2021",14 Aug,24,Under consideration,64,"Like Hinge, make it so that if you provide a last name on your profile, it will be shared with users you match with."
10,253422,Description first optionally,Jackson,"03 Dec, 2021",09 Aug,0,Under consideration,35,"Have an option to have the description appear first and then tap to see the pictures. I don't want to use Mutual anymore because I feel it is reinforcing my bad habit of objectifying people and deciding my interest in them primarily based on their looks, and that makes me feel gross. I think switching it so the photos don't appear until you tap, or at least having the option to set it that way if you want, would help."
11,168489,Let queer members match with other queer members,Rachel,"10 Mar, 2021",08 Aug,96,Under consideration,1000,"There are so many queer lds members that are trying their best to be happy and still be active in the church and not be suicidal. Many of us are trying to find someone who supports our efforts to keep going to church in this church because we love it and we don't want to leave it. We want to feel welcomed and loved there, and it would be easier to find a path to happiness and also activity in the church if we could meet other queer Mormons."
12,170983,Watch an ad to see a person who likes you,Anonymous,"19 Mar, 2021",2 days ago,27,Under consideration,501,"You have ads that pop up occasionally  anyway, and the ""watch an ad to undo"" feature. Having the option to watch an ad to see who likes you would give people a bit more freedom on the app. You could also limit it to something like three ads in a twenty-four hour period."
13,165279,Birthday surprise,Jefferson Glenn,"02 Mar, 2021",2 days ago,9,Under consideration,261,"On the Mutual user's birthday, they will be upgraded to MutualUp (premium features) for 24 hours as a birthday gift from Mutual!"
