Section,Name,description,Date,url_article,url_image
World,Three U.S. troops in Syria suffer minor injuries in rocket attacks,The U.S. military responded with airstrikes that killed at least two suspected militants.,46M ago,https://www.cbsnews.com/news/three-u-s-troops-in-syria-suffer-minor-injuries-in-rocket-attacks-launched-by-the-suspected-iran-backed-militants/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/25/25539754-cc91-4919-98e7-904b9659161c/thumbnail/640x360/49c987a0a22c488d0c7b64f64fbb4895/apache.jpg#
World,"""Gaps remain"": U.S. responds to latest draft of Iran nuclear deal","Israel's prime minister has branded the deal on the table a ""bad one,"" and warned it will give billions of dollars to Iran and its regional militia groups.",4H ago,https://www.cbsnews.com/news/u-s-responds-iran-nuclear-deal-draft/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/2238677e-cc4b-4bc8-9d6f-24d7ee4c6aca/thumbnail/640x360/36cdad2549e7cc2b9fdbf54504c75309/ap22215593919289.jpg#
World,"Zelenskyy says Russia has put world ""on the brink of radiation catastrophe""",Ukraine's president called for the global nuclear watchdog agency to take control of the Zaporizhzhia nuclear plant.,9H ago,https://www.cbsnews.com/news/ukraine-russia-nuclear-plant-fears-zelenskyy-brink-of-radiation-catastrophe/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/b1272823-f77f-44c4-b602-6b46a0677b24/thumbnail/640x360/3ddea7abd303272c9bb7a4002d3943d1/gettyimages-1242539101.jpg#
World,"22 killed in Independence Day attack in Ukraine, Zelenskyy says","Ukraine's president says Russian forces have launched a rocket attack on a train station in central Ukraine on the country's Independence Day, killing at least 22 people and wounding about 50.",5H ago,https://www.cbsnews.com/news/ukraine-independence-day-attack-reported-six-months-after-start-of-war/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/21dcd763-d045-4e3f-8c28-1b40a4ef9a6c/thumbnail/640x360/f7a35f7119114c7301a9f89a5ca4256a/ap22235632833698.jpg#
World,Spain allows suspected gunman to be euthanized before trial,"Victims had argued that Sabau should not be helped to die before his trial, but two Spanish courts ruled that the accused's right to seek assisted suicide prevailed.",11H ago,https://www.cbsnews.com/news/eugen-sabau-spain-suspected-gunman-euthanized/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/24/123faf0e-61f5-4350-a468-dca59721b712/thumbnail/640x360/3bfb92ba19e64a4bc22239e144fd89b1/gettyimages-1359014227.jpg#
World,17-year-old sets record for solo flight around world,"His sister, Zara, who finished her own trip global flight in January at age 19, previously held the ultralight record.",5H ago,https://www.cbsnews.com/news/mack-rutherford-17-youngest-pilot-solo-flight-around-world/,https://assets3.cbsnewsstatic.com/hub/i/r/2022/08/24/260bb62f-368d-4419-9f0d-5dc8178bfc3c/thumbnail/640x360/56b2ef3635ac939c448b4e7c8ccebcd4/2022-08-24t152549z-1241259745-rc223w9athcv-rtrmadp-3-travel-world-mack-rutherford.jpg#
World,"Prized Galileo manuscript turns out to be a fake, university says","The document highlighting the discovery of Jupiter's moons​, described as one of the ""jewels"" of the library's collection, appears to have actually been written in the 20th century.",15H ago,https://www.cbsnews.com/news/galileo-manuscript-forgery-university-of-michigan/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/eff440b8-13f1-4da1-b6c8-3e2cd90267ed/thumbnail/640x360/fb35a52fc2a1924d926a68cddaa2c9f1/screen-shot-2022-08-24-at-9-01-40-am.png#
World,"6 months into Putin's brutal invasion, Ukraine is as defiant as ever","His country has refused to back down, and now Ukrainian President Volodymyr Zelenskyy says it will retake all the territory seized by Russia.",15H ago,https://www.cbsnews.com/news/ukraine-news-russia-war-6-months-31-independence-day/,https://assets2.cbsnewsstatic.com/hub/i/r/2022/08/24/05977edd-fb0f-4fee-884b-1de0ff9ddb4b/thumbnail/640x360/8d5a2ec6ea69d46c272b48826c20b770/ukraine-russia-6-months-1242683186.jpg#
World,Hundreds evacuated in underwater train tunnel between U.K. and France,"""There was a woman crying in the tunnel, another woman having a panic attack,"" said one passenger left stuck in the tunnel thanks to a broken down train.",15H ago,https://www.cbsnews.com/news/eurotunnel-le-shuttle-train-passengers-evacuated-tunnel-under-english-channel/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/cdbbf6cf-a3c0-4e79-8e61-3f237ee83b3f/thumbnail/640x360/2bd6e868f5758c760ca07c7136a91d60/eurotunnel-train-evacuation.jpg#
World,Chinese province plans to ban the sale of gasoline-powered cars,"The idea is to curb climate-changing carbon emissions. Cities there would develop ""zero-emissions zones"" where fossil fuel-powered vehicles would be prohibited.",15H ago,https://www.cbsnews.com/news/chinese-province-plans-to-ban-the-sale-of-gasoline-powered-cars/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/b733c121-54b9-4377-a57d-a9143c238c83/thumbnail/640x360/b2a82164b8263fcc6197ab73fa0f4ef9/ap22236273226544.jpg#
World,Biden announces $3 billion in additional aid to Ukraine,"""This will allow Ukraine to acquire air defense systems, artillery systems and munitions, counter-unmanned aerial systems, and radars to ensure it can continue to defend itself over the long term,"" the president said.",16H ago,https://www.cbsnews.com/news/ukraine-aid-3-billion-biden-administration-announcement/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/23/badb4b67-c29c-4138-bb4b-43ac40b65e47/thumbnail/640x360/9a3e79a45560119d29005e1b96511035/ap22235619047327.jpg#
World,"Europe's drought is likely the worst in 500 years, officials say","Extreme heat and a lack of precipitation have plagued Europe for months, causing rivers to shrivel up, crops to die and wildfires to scorch people's homes.",16H ago,https://www.cbsnews.com/news/europe-drought-worst-in-500-years-report/,https://assets1.cbsnewsstatic.com/hub/i/r/2022/08/24/a16f1a4e-1038-4a4e-afb9-37a804ee2b4c/thumbnail/640x360/7c09d1301078af8ec2a8fd6c1345eb27/gettyimages-1242683411.jpg#
