apellidos,formacion,apellidosNombre,genero,fchAlta,grupo,idCircunscripcion,nombreCircunscripcion,nombre,codParlamentario,dateOfBirth,legislaturas,mailto,img,twitter,facebook,personal-web,legislatura_IX,legislatura_X,legislatura_XI,legislatura_XII,legislatura_XIII,legislatura_XIV,instagram,legislatura_V,legislatura_VI,legislatura_VII,legislatura_VIII,linkedin,youtube,legislatura_II,legislatura_III,years
Ábalos Meco,PSOE,"Ábalos Meco, José Luis",1,27/11/2019,Socialista,46,Valencia/València,José Luis,267,1959-12-09,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/267_14.jpg,https://twitter.com/abalosmeco,https://www.facebook.com/jose.l.meco,http://joseluisabalos.wordpress.com/,IX,X,XI,XII,XIII,XIV,,,,,,,,,,62
Abascal Conde,Vox,"Abascal Conde, Santiago",1,20/11/2019,VOX,28,Madrid,Santiago,43,1976-04-14,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/43_14.jpg,https://twitter.com/Santi_ABASCAL,,,,,,,XIII,XIV,,,,,,,,,,46
Aceves Galindo,PSOE,"Aceves Galindo, José Luis",1,20/11/2019,Socialista,40,Segovia,José Luis,56,1970-05-21,"['XIII', 'XIV']",joseluis.aceves@congreso.es,www.congreso.es/docu/imgweb/diputados/56_14.jpg,https://twitter.com/JLAceves,https://www.facebook.com/joseluisaceves,,,,,,XIII,XIV,,,,,,,,,,52
Agirretxea Urresti,EAJ-PNV,"Agirretxea Urresti, Joseba Andoni",1,21/11/2019,Vasco (EAJ-PNV),20,Gipuzkoa,Joseba Andoni,99,1966-08-06,"['IX', 'X', 'XI', 'XII', 'XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/99_14.jpg,https://twitter.com/jagirretxea,https://www.facebook.com/joseba.agirretxea,,IX,X,XI,XII,XIII,XIV,,,,,,,,,,56
Aizcorbe Torra,Vox,"Aizcorbe Torra, Juan José",1,25/11/2019,VOX,8,Barcelona,Juan José,151,1959-07-09,['XIV'],,www.congreso.es/docu/imgweb/diputados/151_14.jpg,https://twitter.com/JuanjoAizcorbe,,,,,,,,XIV,,,,,,,,,,63
Aizpurua Arzallus,EH Bildu,"Aizpurua Arzallus, Mertxe",2,20/11/2019,Euskal Herria Bildu,20,Gipuzkoa,Mertxe,69,1960-01-08,"['XIII', 'XIV']",,www.congreso.es/docu/imgweb/diputados/69_14.jpg,https://twitter.com/MertxeAizpurua,,,,,,,XIII,XIV,,,,,,,,,,62
Alcaraz Martos,Vox,"Alcaraz Martos, Francisco José",1,27/11/2019,VOX,23,Jaén,Francisco José,252,1968-11-09,['XIV'],,www.congreso.es/docu/imgweb/diputados/252_14.jpg,https://twitter.com/fjosealcaraz,,,,,,,,XIV,,,,,,,,,,53
Alfonso Cendón,PSOE,"Alfonso Cendón, Javier",1,21/11/2019,Socialista,24,León,Javier,103,1983-10-21,"['XIII', 'XIV']",javier.alfonso@congreso.es,www.congreso.es/docu/imgweb/diputados/103_14.jpg,https://twitter.com/alfonsocendon,https://www.facebook.com/alfonsocendon,,,,,,XIII,XIV,https://www.instagram.com/alfonsocendon/,,,,,,,,,38
Almodóbar Barceló,PP,"Almodóbar Barceló, Agustín",1,28/11/2019,Popular en el Congreso,3,Alicante/Alacant,Agustín,305,1977-12-01,"['XIII', 'XIV']",agustin.almodobar@congreso.es,www.congreso.es/docu/imgweb/diputados/305_14.jpg,https://twitter.com/aalmodobar,,,,,,,XIII,XIV,,,,,,,,,,44
Alonso Pérez,PP,"Alonso Pérez, José Ángel",1,26/11/2019,Popular en el Congreso,47,Valladolid,José Ángel,244,1993-02-22,['XIV'],,www.congreso.es/docu/imgweb/diputados/244_14.jpg,https://twitter.com/JAngelVillalon,,,,,,,,XIV,,,,,,,,,,29
