,Agent Name,Agency Name,Website,Contact Method,Debut Authors,Generes,Previous Clients,Location
0,Ann Rittenberg,Ann Rittenberg Literary Agency,http://www.rittlit.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction","Dennis Lehane, Laura Whitcomb, Debra Austin, Doug Magee, Katharine Greider, C.J. Box, Jim Edgar","New York, US"
1,Tracy Bohan,The Wylie Agency,http://www.wylieagency.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction","Sally Rooney, Chimamanda Adichie, Katherine Angel, Michael Marks","New York, US"
2,Mandy Hubbard,Emerald City Literary Agency,http://www.emeraldcityliterary.com/,Online submission form,None,"Young Adult, Middle Grade","Cyn Balog, T.E. Carter, Brigid Kemmerer, Louise Gornall, Kelly Jones","Seattle, US"
3,Lori Kilkelly,LK Literary Agency,https://www.lkliterary.com/,Email,None,"Fiction, Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book","Camille Andros, David Bernardy, Shinji Fujioka, Lauren Eldridge, Julia Denos","Chicago, US"
4,Irene Goodman,Irene Goodman Literary Agency,https://www.irenegoodman.com/,Email,None,"Fiction, Chick Lit, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade","Lori Handeland, Linda Lael Miller, Amanda Elyot, Boyd Morrison, Juliet Grey","New York, US"
5,Rebecca Sherman,Writers House,http://www.writershouse.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Nonfiction, Children's Book, Middle Grade, Picture Book","Daniel Salmieri, Andrea Beaty, Grace Lin, John Hendrix","New York City, US"
6,Janet Reid,JetReid Literary,http://www.jetreidliterary.com/,Email,None,"Fiction, Horror, Literary Fiction, Mystery, Science Fiction, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Politics, Children's Book, Middle Grade, Feminism","Patrick Lee, Jeff Somers, Robin Becker, Jeff Marks, Dana Haynes","New York, US"
7,Hannah Bowman,Liza Dawson Associates,https://www.lizadawsonassociates.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Fantasy, Science Fiction, Young Adult, Nonfiction, Christian, Diverse Fiction, BIPOC, LGBTQ","R.F. Kuang, Pierce Brown, Tobias Buckell, Kameron Hurley, Kelly Robson","New York City, US"
8,Elena Giovinazzo,Pippin Properties,http://www.pippinproperties.com/,Email,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book","Katherine Applegate, Jason Reynolds, Cassie Beasley, Holly M. McGhee","New York City, US"
9,Suzanne Gluck,William Morris Endeavor,https://www.wmeagency.com/,Email,None,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics","Judy Blume, Jill Abramson, Elizabeth Berg, Meg Wolitzer","Los Angeles, US"
10,Emily Forland,"Brandt & Hochman Literary Agents, Inc.",https://brandthochman.com/,Email,None,"Fiction, Graphic Novel, Humor, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction","Heidi Durrow, Alice Fulton, Bill Hayes, James Magnuson, Greil Marcus, Dominic Smith","New York, US"
11,Warren Frazier,John Hawkins & Associates,http://www.jhalit.com/,Email,☑️ Interested in debut authors,"Fiction, Literary Fiction, Business Book, Graphic Novel, Memoir, Narrative Nonfiction, Short Story","Joyce Carol Oates, Mark Z. Danielewski, Olga Grushin, Jess Walter","New York, US"
12,Bonnie Solow,Solow Literary Enterprises,https://www.solowliterary.com/,Email,None,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Spirituality","Sylvia Browne, Jack Canfield, Danny Dreyer","San Francisco, US"
13,Michael Harriot,Folio Literary Management,https://www.foliolit.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Graphic Novel, Humor, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Sports","Ben Mezrich, Tony Fletcher, Alisa Bowman","New York City, US"
14,Sarah Hornsley,Peters Fraser + Dunlop,https://petersfraserdunlop.com/agent/sarah-hornsley/,Online submission form,None,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Historical Fiction, Horror, Literary Fiction, Science Fiction, Thriller, Young Adult, Nonfiction, Cookbook, Memoir","Ciara Attwell, Olivia Beirne, Roxie Cooper, Drew Davies, Nick Hollin","London, GB"
15,Farley Chase,Chase Literary Agency,http://chaseliterary.com/,Email,None,"Fiction, Commercial Fiction, Graphic Novel, Historical Fiction, Humor, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Sports, BIPOC, Fantasy, Science Fiction","Alia Volz, Robert Weintraub, Gregory Crough, Gilbert King, Matt Stoller","New York City, US"
16,Elizabeth Harding,"Curtis Brown, Ltd.",https://curtisbrown.com/,Email,None,"Fiction, Young Adult, Children's Book, Middle Grade","Jane Yolen, Karen Cushman, Robert Cormier, S.E. Hinton, Nikki Grimes","New York City, US"
17,Annelise Robey,Jane Rotrosen Agency,https://www.janerotrosen.com/,Email,None,"Fiction, Chick Lit, Commercial Fiction, Fantasy, Historical Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Literary Fiction","Terri Garey, Monica McCarty, James Hayman","New York City, US"
18,Margret McBride,Margret McBride Literary Agency,http://www.mcbrideliterary.com/,Online submission form,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Business Book, Memoir, Self-Help","Benjamin Bikman, Grant Sabatier, Sheldon Bowles, Brandon Webb","San Diego, US"
19,Julia Churchill,A.M. Heath & Co. Ltd,https://amheath.com,Online submission form,☑️ Interested in debut authors,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book","Joan Aiken, Lloyd Alexander, Zillah Bethell, Helen Douglas","London, GB"
20,Kelly Sonnack,Andrea Brown Literary Agency,http://www.andreabrownlit.com/,Online submission form,None,"Fiction, Graphic Novel, Humor, Young Adult, Nonfiction, Memoir, Children's Book, Middle Grade, Picture Book","Christine Lynn Herman, Kim Smith, Sharon Cameron, James Burks, Joy Ang, Alastair Heim","Chicago, US"
21,Curtis Russell,P.S. Literary Agency,https://www.psliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Humor, Literary Fiction, Mystery, Romance, Thriller, Young Adult, Nonfiction, Business Book, Memoir, Politics, Self-Help, Sports, Children's Book, Middle Grade, Picture Book","Pamela Beason, Nick Powdthavee, Gail Vaz-Oxlade, Gerry Dee, Tommy Europe","Toronto, CA"
22,Sarah Younger,Nancy Yost Literary Agency,http://www.nyliterary.com/,Online submission form,None,"Fiction, Fantasy, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Christian","Shannon Richard, Asa Maria Bradley, Gina Conkle, Alexis Daria","New York, US"
23,Amy Giuffrida,Jennifer DeChiara Literary Agency,https://www.jdlit.com/,Online submission form,☑️ Interested in debut authors,"Fiction, Horror, Mystery, Romance, Thriller, Young Adult, Nonfiction, Cookbook, Children's Book, Middle Grade, Diverse Fiction, #ownvoices, BIPOC, LGBTQ","Maria Tureaud, Jax McQueen, Sarah Elynn, Haley Hwang","New York City, US"
24,Elyse Cheney,The Cheney Agency,http://cheneyassoc.com/,Email,None,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics","Dave Eggers, Terri Jentz, Benjamin Kunkel, Nathaniel Rich, Suzanne Rivecca","New York, US"
25,Marcy Posner,Folio Literary Management,https://www.foliolit.com/,Email,None,"Fiction, Commercial Fiction, Young Adult, Nonfiction, Children's Book, Middle Grade","Joss Ware, Kristi Cook, Susan Hubbard","New York City, US"
26,Karolina Sutton,Curtis Brown UK,https://www.curtisbrown.co.uk/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction, Politics","Margaret Atwood, Bernardine Evaristo, Tara Westover, Malala Yousafzai, Anthony Doerr","London, GB"
27,Jennifer Jackson,Donald Maass Literary Agency,http://maassagency.com/,Email,☑️ Interested in debut authors,"Fiction, Fantasy, Historical Fiction, Science Fiction, Thriller, Women's Fiction, Young Adult, African-American, BIPOC","Jim Butcher, Elizabeth Bear, Tamsyn Muir, Saladin Ahmed, Anne Bishop, Seth Dickinson","New York City, US"
28,Carly Watters,P.S. Literary Agency,https://www.psliterary.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Cookbook, Narrative Nonfiction, Children's Book, Diverse Fiction, LGBTQ","Colin Mochrie, Mary Akers, Danny Appleby, Jay Onrait, Taylor Jenkins Reid, Lorene Sauro","Toronto, CA"
29,Darley Anderson,Darley Anderson Literary Agency,https://www.darleyanderson.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Romance, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Children's Book","Lee Child, Martina Cole, Margaret Dickinson, John Connolly, Tana French","London, GB"
30,Daniel Lazar,Writers House,http://www.writershouse.com/,Email,☑️ Interested in debut authors,"Fiction, Commercial Fiction, Graphic Novel, Historical Fiction, Humor, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade, Diverse Fiction, LGBTQ","Hannah Kent, Chandler Baker, Raymond Villareal, Ingrid Law, Jennifer McMahon, Matt Rothschild","New York City, US"
