,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,Estacion_id,URL
1,Alto Hospicio,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,Tarapacá,Iquique,Alto Hospicio,385118 E 7755989 N,19,en línea,2015-12-17,157,https://sinca.mma.gob.cl/index.php/estacion/index/id/157
2,Antofagasta,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,Antofagasta,Antofagasta,Antofagasta,358874 E 7387875 N,19,en línea,2013-06-01,259,https://sinca.mma.gob.cl/index.php/estacion/index/id/259
0,Arica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,Arica y Parinacota,Arica,Arica,363747 E 7955831 N,19,en línea,2013-11-27,232,https://sinca.mma.gob.cl/index.php/estacion/index/id/232
7,Chiu Chiu,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,Antofagasta,El Loa,Calama,535953 E 7529230 N,19,en línea,2008-04-10,234,https://sinca.mma.gob.cl/index.php/estacion/index/id/234
8,Club Deportivo 23 de Marzo,Codelco Distrito Norte,SGS Chile Ltda.,Antofagasta,El Loa,Calama,506399 E 7516241 N,19,en línea,2012-10-12,207,https://sinca.mma.gob.cl/index.php/estacion/index/id/207
9,Colegio Pedro Vergara Keller,Codelco Distrito Norte,SGS Chile Ltda.,Antofagasta,El Loa,Calama,506893 E 7518227 N,19,en línea,2012-10-12,222,https://sinca.mma.gob.cl/index.php/estacion/index/id/222
3,Oncológico,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,Antofagasta,Antofagasta,Antofagasta,357923 E 7383182 N,19,carga manual,2005-08-23,154,https://sinca.mma.gob.cl/index.php/estacion/index/id/154
4,Playa Blanca,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,Antofagasta,Antofagasta,Antofagasta,356498 E 7381134 N,19,carga manual,2007-09-01,70,https://sinca.mma.gob.cl/index.php/estacion/index/id/70
5,Rendic,Convenio  AIA-CONAMA-SEREMI de Salud,Serpram S.A,Antofagasta,Antofagasta,Antofagasta,359138 E 7387995 N,19,carga manual,2005-07-01,33,https://sinca.mma.gob.cl/index.php/estacion/index/id/33
6,Sur,"Complejo Metalúrgico Altonorte, Xstrata Copper Chile S.A.",Serpram S.A,Antofagasta,Antofagasta,Antofagasta,366690 E 7363604 N,19,carga manual,1998-01-01,46,https://sinca.mma.gob.cl/index.php/estacion/index/id/46
