Product,Condition,Price,Item Number
"2017 21"" iMac",FAIR,$250.00,76740
22 Oz Stainless Steel Top Water Bottle (Blue/Plastic),GOOD,$0.50,75298
4 in one mini locker units,GOOD,$15.00,76631
5' storage/file cabinet,GOOD,$5.00,75668
8-Pack Verbatim Brand Blank Logo CD-R CDR 80,POOR,$0.25,73180
Acer Computer Charger,GOOD,$2.00,75457
ADC commercial gas dryer,FAIR,$400.00,76683
ADC commercial gas dryer,FAIR,$400.00,76684
AKG Earbuds Black,GOOD,$0.75,74561
APPLE EARPODS WITH LIGHTNING CONNECTOR,GOOD,$1.25,75470
AS 215 LAB,GOOD,$1.25,76183
"ATS Acoustics Rigid Fiberglass Board, 2inch",FAIR,$3.00,75209
"Attachment for Taylor Ice Cream Maker for Toppings, Syrup and Cups, Stainless Steel",EXCELLENT,$50.00,76134
Aviator Sunglasses,GOOD,$0.50,75307
Black Cat-eye Sunglasses,GOOD,$0.50,75440
Black Hearing Aid Left Ear,GOOD,$1.75,74661
Black Sunglasses,GOOD,$0.50,75309
Book Concepts of Ecology second edition by Edward J. Kormondy,GOOD,$1.25,74776
Book Food for us all The Yearbook of 1969 Agriculture,GOOD,$1.25,74780
Book Gardens in Glass Containers by Robert C Baur,GOOD,$1.25,74773
Book of Mormon Gospel Doctrine Teacher's Manual,GOOD,$1.25,74551
Book Plant Diversification Second Edition by Theodore Delevoryas,GOOD,$1.25,74771
Book The Good Guide by Alison L Grinder,EXCELLENT,$1.25,74778
Book: A Student Handbook for Writing in by Biology Karin Knisely,GOOD,$1.25,75774
Book: An Introduction to the History of by Psycology B.R. Hergenhahn,GOOD,$1.25,75302
Book: An introduction to the Principles of Plant Physiology by W. Stiles and EC Cocking,GOOD,$1.25,74772
Book: Daughters in My Kingdom: History of R.S.,GOOD,$1.00,74548
Book: Flying Lessons & Other Stories Edited By Ellen Oh,GOOD,$0.75,74248
Book: Helix by Eric Brown,GOOD,$1.25,75772
Book: Looking at Dances by Valerie,GOOD,$1.25,75305
Book: Looking at Dances by Valerie Preston-Dunlop,GOOD,$1.25,75320
Book: Looking Out Looking In by Ronald B Adler,GOOD,$1.25,75300
