date,description
1801 - 1809,Thomas Jefferson is third President of 16 United States.
"March 1, 1807",Wilford is born in Farmington Township (Avon) Connecticut to Beulah Thompson and Aphek Woodruff.
"June 7, 1807",Wilford is baptized in the Northington Connecticut (Congregational) Church by Reverend Rufus Hawley.
"June 11, 1808","Wilford's mother, Bulah Thompson Woodruff, dies at age 26 of spotted fever."
"March 4, 1809",James Madison is inaugurated as fourth President of 17 United States.
"November 9, 1810",Wilford's father Aphek marries Azubah Hart; only two of their six children live to adulthood.
"March 4, 1817",James Monroe inaugurated as fifth President of 17 United States.
Spring 1820,Joseph Smith's First Vision. Joseph Smith - History 1:14 - 20
"May 1, 1821",Wilford completes general education at age 14; lives with George Cowles for two years to learn miller's trade.
1821 - 1826,"Wilford works summers, continues schooling at Farmington Academy during the winters."
"September 21, 1823",Joseph Smith's second vision: instruction about the Book of Mormon and mission of Elijah. Joseph Smith - History 1:30 - 54
"March 4, 1825",John Quincy Adams is inaugurated as sixth President of 24 United States.
1827,Wilford begins managing mill for his Aunt Helen Wheeler.
"September 22, 1827",Joseph Smith receives records to begin translation of the Book of Mormon. Joseph Smith - History 1:59
"March 4, 1829",Andrew Jackson is inaugurated as seventh President of 24 United States.
May - June 1829,"Aaronic and Melchizedek priesthoods are restored. Joseph Smith - History 1:68 - 72; Doctrine and Covenants 27 - 8, 12"
June 1829,Joseph Smith finishes translating the Book of Mormon.
1830,"Church membership reaches 200; the population of the 24 United States is 12,866,000."
"March 26, 1830","First copies of the Book of Mormon are available in Palmyra, New York."
Spring 1830,Wilford is age 23 when Robert Mason prophesies of the restoration of the gospel and Wilford's place in it.
"April 6, 1830","Joseph Smith officially organizes the Church in Fayette Township, New York."
May 1830,"Wilford hired by Collins Axe Company to run their mill; works in Collinsville (South Canton), CT"
December 1830,Joseph Smith explains the need for all living and dead to receive ordinances.
1831,"Wilford works in Cowles mill in Farmington, Connecticut."
"May 5, 1831","Wilford is baptized by immersion by George Phippen, a Baptist minister; does not join Baptist Church.
                                                            



                                                                                    Page 1 from Letter to George Phippen, circa January 1831 [LE-11607]"
"February 16, 1832",Joseph Smith receives revelation regarding the three degrees of glory. Doctrine and Covenants 76
"March 8, 1832","First Presidency of the High Priesthood organized with Joseph Smith, Jesse Gause, and Sidney Rigdon."
Spring 1832,Wilford reads newspaper article about the Mormons; intrigued by similarities to New Testament church.
Spring 1832,"Wilford feels inspired to go to Rhode Island, but does not follow prompting.
                                                            



                                                                                    Page 1 from Autobiography 1858 Deseret News [A-4]"
May 1832,"Wilford and his brothers purchase a farm, sawmill, and orchard in Richland, Oswego County, NY."
December 1832,Joseph Smith commanded to build a temple in order to receive priesthood keys. Doctrine and Covenants 88:119 - 120
"June 5, 1833",Construction of the Kirtland Temple begins.
"July 23, 1833",Cornerstones laid for the Kirtland Temple.
"December 29, 1833",Wilford hears the restored gospel for the first time from Zerah Pulsipher and Elijah Cheney.
"December 31, 1833",Wilford is baptized and confirmed by Zerah Pulsipher; Wilford's brother Azmon also baptized.
January 1834,"Wilford begins preaching with Harry Brown (father of future wife Sarah) and James Blakesly.
                                                            



                                                                                    Page 14 from Journal (December 29, 1833 – January 3, 1838)"
"January 2, 1834","Richland Branch of Church organized; Azmon ordained a priest, Wilford ordained a teacher. by Zerah Pulsipher.
                                                            



                                                                                    Page 13 from Journal (December 29, 1833 – January 3, 1838)"
"April 1, 1834",Wilford is directed by Parley P. Pratt and Harry Brown to join Zion's Camp.
"April 11, 1834","Wilford leaves New York to join Saints in Kirtland, Ohio.
                                                            



                                                                                    Page 15 from Journal (December 29, 1833 – January 3, 1838)"
"April 25, 1834","Wilford arrives in Kirtland, Ohio, where he meets Joseph Smith and stays at his house for the week."
May - June 1834,Wilford travels with Zion's Camp to Missouri to help protect and defend persecuted Saints there.
July - December 1834,"Wilford works in Clay County, Missouri, making brick to build the home of Michael Arthur."
"November 5, 1834","Wilford ordained a priest by Simeon Carter at Adam-ondi-Ahman in Clay County, Missouri."
