Id,Fecha,Hora,MP_10,Alarma_C,Alarma_D,Alarma_E,Alarma_F,Alarma_I,Alarma_L,Alarma_M,Alarma_N,Alarma_P,Alarma_R,Alarma_T,Alarma_U
1,13/06/2023,0,49,0,0,0,0,0,0,0,0,0,0,0,0
2,13/06/2023,1,95,0,0,0,0,0,0,0,0,0,0,0,0
3,13/06/2023,2,39,0,0,0,0,0,0,0,0,0,0,0,0
4,13/06/2023,3,36,0,0,0,0,0,0,0,0,0,0,0,0
5,13/06/2023,4,44,0,0,0,0,0,0,0,0,0,0,0,0
6,13/06/2023,5,29,0,0,0,0,0,0,0,0,0,0,0,0
7,13/06/2023,6,44,0,0,0,0,0,0,0,0,0,0,0,0
8,13/06/2023,7,168,0,0,0,0,0,0,0,0,0,0,0,0
9,13/06/2023,8,225,0,0,0,0,0,0,0,0,0,0,0,0
10,13/06/2023,9,99,0,0,0,0,0,0,0,0,0,0,0,0
11,13/06/2023,10,98,0,0,0,0,0,0,0,0,0,0,0,0
12,13/06/2023,11,123,0,0,0,0,0,0,0,0,0,0,0,0
13,13/06/2023,12,ND,0,0,0,0,0,0,0,0,0,0,0,0
14,13/06/2023,13,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
